mtf_state,n,aligned_at_T0,f5_pct,fav2_pct,fav3_pct,win_pct
L|L|L|L,746,100.0,0.0,40.21447721179624,27.07774798927614,36.32707774798928
L|L|L|S,271,100.0,0.0,32.10332103321033,23.247232472324722,28.413284132841326
L|L|S|L,106,100.0,0.0,36.79245283018868,27.358490566037734,37.735849056603776
L|L|S|S,250,100.0,0.0,36.0,18.8,30.4
L|S|L|L,322,0.0,35.40372670807454,32.91925465838509,22.049689440993788,31.987577639751553
L|S|L|S,125,0.0,39.2,44.0,29.599999999999998,39.2
L|S|S|L,341,0.0,31.671554252199414,36.950146627565985,24.04692082111437,34.31085043988269
L|S|S|S,761,0.0,32.58869908015768,38.107752956636006,24.704336399474375,36.925098554533506
S|L|L|L,971,0.0,24.613800205973224,34.39752832131823,22.039134912461382,27.29145211122554
S|L|L|S,412,0.0,29.36893203883495,37.86407766990291,24.75728155339806,31.31067961165049
S|L|S|L,147,0.0,29.25170068027211,39.455782312925166,23.809523809523807,31.292517006802722
S|L|S|S,371,0.0,33.9622641509434,34.23180592991914,20.485175202156334,31.266846361185983
S|S|L|L,206,100.0,0.0,40.29126213592233,26.21359223300971,30.582524271844658
S|S|L|S,76,100.0,0.0,32.89473684210527,21.052631578947366,31.57894736842105
S|S|S|L,224,100.0,0.0,32.589285714285715,23.214285714285715,29.017857142857146
S|S|S|S,513,100.0,0.0,35.86744639376218,22.807017543859647,30.409356725146196
