config,bucket_id,parent,dimension,child_value,atlas_metric,atlas_2023_estimate,atlas_2023_p,val_n,val_mean_score,val_parent_mean_score,val_pop_mean_score,val_fav2_pct,val_fav3_pct,val_win_pct,val_parent_fav2_pct,val_parent_win_pct,val_f5_pct
L1_stumps,B00,,mtf_state,L|S|S|S,is_win,0.05076191244582717,0.002884051976196381,222,0.3632671734029091,0.3695313175997845,0.3695313175997845,36.03603603603604,22.52252252252252,35.585585585585584,36.327345309381236,33.20026613439787,32.242990654205606
L1_stumps,B01,S|L|L|L,b_sd_cur_mfe_5m_A,>=2,is_win,0.09290307002683307,0.005432960412180212,33,0.37270993301372907,0.3663763170774947,0.3695313175997845,42.42424242424242,33.33333333333333,36.36363636363637,33.980582524271846,28.640776699029125,42.42424242424242
L1_stumps,B02,S|L|L|L,b_sd_cur_mfe_15m_A,>=2,is_win,0.09890127490550327,0.005837820950991797,29,0.3807573988794944,0.3663763170774947,0.3695313175997845,41.37931034482759,27.586206896551722,34.48275862068966,33.980582524271846,28.640776699029125,37.93103448275862
L1_stumps,B03,S|L|S|S,b_pos_15m,"[0.60,0.80)",is_win,0.11854991634132739,0.0060614894359353015,49,0.3820232202251233,0.3845543333816898,0.3695313175997845,36.734693877551024,22.448979591836736,30.612244897959183,29.166666666666668,27.500000000000004,38.775510204081634
L1_stumps,B04,L|S|L|L,b_sd_cur_mfe_5m_A,"[1,2)",is_win,0.0996492116302618,0.01590335585727888,42,0.37799590203243616,0.3774515662655624,0.3695313175997845,26.190476190476193,19.047619047619047,33.33333333333333,28.915662650602407,33.734939759036145,39.473684210526315
L1_stumps,B05,S|S|S|S,b_pos_5m,"[0.80,1.00]",is_win,0.08646104298278212,0.0192121071126447,99,0.3681547788575007,0.366916515869952,0.3695313175997845,49.494949494949495,33.33333333333333,41.41414141414141,44.370860927152314,37.74834437086093,0.0
L1_stumps,B06,S|L|L|L,b_pos_1h,"[0.60,0.80)",is_win,0.06089569903554937,0.040353649293297184,55,0.36844846406890924,0.3663763170774947,0.3695313175997845,47.27272727272727,34.54545454545455,40.0,33.980582524271846,28.640776699029125,37.03703703703704
L1_stumps,B07,S|S|S|S,b_sd_pri_end_5m_A,>=2,is_win,0.07798598287728725,0.04267990845170249,97,0.36774422666715456,0.366916515869952,0.3695313175997845,48.45360824742268,35.051546391752574,41.23711340206185,44.370860927152314,37.74834437086093,0.0
L1_stumps,B08,S|S|S|S,b_sd_cur_mae_5m_A,>=2,is_win,0.08102715922255116,0.045744456944343745,119,0.3673190172289404,0.366916515869952,0.3695313175997845,47.89915966386555,32.773109243697476,42.016806722689076,44.370860927152314,37.74834437086093,0.0
L1_stumps,B09,S|L|L|S,b_sd_pri_start_15m_B,>=2,is_win,0.08357249454712434,0.047392416725875304,77,0.3686479768310904,0.36630591835647663,0.3695313175997845,36.36363636363637,23.376623376623375,32.467532467532465,37.83783783783784,34.234234234234236,30.263157894736842
L1_stumps,B10,S|S|S|S,b_sd_pri_mae_5m_B,>=2,reach_fav_2p00,0.09776297814207652,0.008892257352681314,98,0.36914458508865805,0.366916515869952,0.3695313175997845,50.0,36.734693877551024,44.89795918367347,44.370860927152314,37.74834437086093,0.0
L1_stumps,B11,S|S|S|S,b_sd_cur_start_5m_A,>=2,reach_fav_2p00,0.10307215774186163,0.012864390757774891,117,0.36720355260910764,0.366916515869952,0.3695313175997845,47.863247863247864,33.33333333333333,41.88034188034188,44.370860927152314,37.74834437086093,0.0
L1_stumps,B12,L|S|S|S,b_sd_cur_mfe_1h_B,>=2,reach_fav_2p00,0.08674242424242423,0.025941537934954927,176,0.36284648333087344,0.3632671734029091,0.3695313175997845,35.22727272727273,22.15909090909091,34.090909090909086,36.03603603603604,35.585585585585584,36.68639053254438
L1_stumps,B13,L|S|S|S,b_sd_pri_mae_1h_B,<-2,reach_fav_2p00,0.06603016466030165,0.052304406079409664,112,0.3641695473252356,0.3632671734029091,0.3695313175997845,40.17857142857143,24.107142857142858,40.17857142857143,36.03603603603604,35.585585585585584,35.18518518518518
L1_stumps,B14,S|L|S|S,b_sd_cur_mfe_5m_A,"[1,2)",reach_fav_2p00,0.09169960474308303,0.05285909745885396,49,0.38523662942650483,0.3845543333816898,0.3695313175997845,44.89795918367347,24.489795918367346,44.89795918367347,29.166666666666668,27.500000000000004,43.75
L2_depth2,B00,,mtf_state,L|S|S|S,is_win,0.05076191244582717,0.002884051976196381,222,0.3658777904878579,0.37331298248747036,0.37331298248747036,36.03603603603604,22.52252252252252,35.585585585585584,36.327345309381236,33.20026613439787,32.242990654205606
