config,capacity_rank,train_n,validation_n,real_label_train_auc,shuffled_label_train_auc,real_minus_shuffled_train_auc,validation_auc,validation_auc_ci_lo,validation_auc_ci_hi,delta_vs_direction_only,delta_vs_direction_only_ci_lo,delta_vs_direction_only_ci_hi,delta_vs_mtf_state_only,delta_vs_mtf_state_only_ci_lo,delta_vs_mtf_state_only_ci_hi,total_leaves,bagging_max_abs_pred_diff,val_spearman_fav2,val_spearman_fav3,val_spearman_win,val_spearman_adv1,val_spearman_adv0p5,val_spearman_mean_g,val_spearman_f5,val_q5_fav2_minus_pooled_pp,val_q5_n,val_q5_share,val_q5_minus_q1_fav2_pp,val_q5_minus_q1_adv1_pp,G1_canary,G2_validation_auc,G3_controls,G4_monotonic,G5_support,G6_not_variance,all_gates
L1_stumps,1.0,4521.0,1503.0,0.5806299489831674,0.5771123390065797,0.0035176099765877877,0.5128501766432801,0.47814979268291913,0.544665841559122,0.0006841817186645782,-0.04567850273882631,0.045407236142208394,0.010645484783415982,-0.042625018253606546,0.060625525985740586,200.0,0.05915438867486639,-0.09999999999999999,0.7999999999999999,-0.09999999999999999,0.39999999999999997,0.3,0.09999999999999999,0.6,-2.3429703093812364,256.0,0.1703260146373919,-0.3013392857142847,5.374681122448976,True,False,False,False,True,False,False
L2_depth2,2.0,4521.0,1503.0,0.6298334745455088,0.6356570604618917,-0.0058235859163829895,0.5053423587906346,0.47414547945576185,0.5370976997860176,-0.006823636133980959,-0.0494658923638858,0.03519971587296813,0.003137666930770444,-0.04668829379855981,0.051157957461284834,367.0,0.06967216562556583,-0.09999999999999999,0.19999999999999998,-0.09999999999999999,0.7,0.19999999999999998,-0.39999999999999997,0.09999999999999999,-2.7850255601649394,319.0,0.21224218230206254,-2.6079149925677427,6.3549531252299545,True,False,False,False,True,False,False
L3_depth3,3.0,4521.0,1503.0,0.6766795121486535,0.6761385834887086,0.0005409286599449281,0.5119908826805378,0.4815892714350412,0.5418383883738842,-0.0001751122440777353,-0.039984665950409774,0.03883493706183096,0.009786190820673668,-0.03955887286180124,0.05769109265472934,595.0,0.10554884544725995,0.9999999999999999,0.39999999999999997,0.6,0.7,0.49999999999999994,0.3,-0.6,1.0428969051516361,289.0,0.19228210246174318,3.3276890230435114,6.112419936685569,True,False,False,False,True,False,False
control:direction_only,,,,0.509591936679873,,,0.5121659949246156,0.48433842310819925,0.5405677082110746,,,,,,,,,,,,,,,,,,,,,,,,,,,
control:mtf_state_only,,,,0.5338695199499441,,,0.5022046918598642,0.4692280141782573,0.5367089079847848,,,,,,,,,,,,,,,,,,,,,,,,,,,
