==================================================
CONDITIONAL PATH PREDICTABILITY STUDY FULL DETAILS
==================================================

Cohort: ALL | K=3m | H=5m | N=43985 | Slope=-0.002609 | 95% CI=[-0.020310, +0.015948]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 22136  |      +0.015116 |  49.44% | $    -8.55 | $   -18.55
  0-0.25       | 4640   |      +0.011253 |  48.81% | $    -7.92 | $   -17.92
  0.25-0.5     | 3811   |      -0.048077 |  48.36% | $   -13.30 | $   -23.30
  0.5-1.0      | 6060   |      +0.012954 |  49.41% | $    -5.77 | $   -15.77
   >=1.0       | 7338   |      -0.001780 |  47.26% | $   -11.42 | $   -21.42

Cohort: ALL | K=3m | H=15m | N=43985 | Slope=-0.005563 | 95% CI=[-0.034542, +0.025502]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 22136  |      +0.024818 |  49.95% | $    -7.64 | $   -17.64
  0-0.25       | 4640   |      +0.034718 |  50.50% | $    -4.70 | $   -14.70
  0.25-0.5     | 3811   |      -0.046628 |  49.67% | $   -18.59 | $   -28.59
  0.5-1.0      | 6060   |      +0.020367 |  50.41% | $    -3.78 | $   -13.78
   >=1.0       | 7338   |      -0.000692 |  48.81% | $   -19.52 | $   -29.52

Cohort: ALL | K=3m | H=30m | N=43985 | Slope=-0.004525 | 95% CI=[-0.046203, +0.043012]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 22136  |      +0.059496 |  50.27% | $    -3.55 | $   -13.55
  0-0.25       | 4640   |      +0.047623 |  50.52% | $    +0.11 | $    -9.89
  0.25-0.5     | 3811   |      -0.133478 |  49.17% | $   -40.93 | $   -50.93
  0.5-1.0      | 6060   |      +0.007530 |  50.20% | $   -10.23 | $   -20.23
   >=1.0       | 7338   |      -0.008667 |  49.13% | $   -20.72 | $   -30.72

