regime_start_ns,session,anchor,dir,t_touch,time_to_anchor_s,mfe_through,cur,pullback_from_mfe,mae_before,adv1_before,ret15,ret30,ret60,path_eff,n_cross,rv60,accel,fav_share,tod_min,time_to_close_s,trig_rel_entry,dist_to_trig,trig_move60,engine_regime_ok,fixed_outcome,fixed_eligible,term_reach2,win,null_p_fixed,null_fixed_resolved,null_p_term_reach2,null_p_giveback_given_reach2,null_p_term_win,null_sim_unflipped,null_decided_by_touch_bar,block
1672756440000000000,2023-01-03,0.25,1,1672756456000000000,1.0,0.28322457027469206,0.28322457027469206,0.0,0.0,0,0.28322457027469206,0.28322457027469206,0.28322457027469206,1.0,0,0.28322457027469206,0.28322457027469206,1.0,4,26744.0,-2.9909842782174523,3.2742088484921443,0.38127216640064665,1,0.0,1,1,1,0.34375,64,0.484375,0.16129032258064516,0.4375,0,0,discovery
1672756440000000000,2023-01-03,0.5,1,1672756752000000000,297.0,0.5664491405493841,0.48552783475661493,0.08092130579276918,3.0345489672288433,1,1.3756621984770756,1.537504810062614,0.768752405031307,0.013856812933025405,4,1.0343218100938991,1.5779654629589985,0.15730337078651685,9,26448.0,-2.245646921765127,2.731174756521742,0.49663270511070623,1,,0,1,1,0.59375,64,0.5625,0.05555555555555555,0.546875,0,0,discovery
1672756440000000000,2023-01-03,0.75,1,1672756753000000000,298.0,1.0722073017541913,1.0722073017541913,0.0,3.0345489672288433,1,1.8207293803373061,2.0634932977156133,1.3149712191324987,0.030096536059057356,4,1.1884348275777172,1.9893154340722419,0.26108374384236455,9,26447.0,-2.245646921765127,3.3178542235193182,0.49663270511070623,1,,0,1,1,0.6875,64,0.71875,0.30434782608695654,0.53125,0,0,discovery
1672756440000000000,2023-01-03,1.0,1,1672756753000000000,298.0,1.0722073017541913,1.0722073017541913,0.0,3.0345489672288433,1,1.8207293803373061,2.0634932977156133,1.3149712191324987,0.030096536059057356,4,1.1884348275777172,1.9893154340722419,0.26108374384236455,9,26447.0,-2.245646921765127,3.3178542235193182,0.49663270511070623,1,,0,1,1,0.609375,64,0.59375,0.18421052631578946,0.53125,0,0,discovery
1672756440000000000,2023-01-03,1.25,1,1672756762000000000,307.0,1.4363531778216525,1.2542802397879218,0.1820729380337307,3.0345489672288433,1,0.9710556695132297,2.2455662357493438,1.4363531778216525,0.034292035398230086,4,1.1467222879354777,0.8159565000770889,0.3212669683257919,9,26438.0,-2.245646921765127,3.4999271615530487,0.49663270511070623,1,,0,1,1,0.609375,64,0.59375,0.2631578947368421,0.46875,0,0,discovery
1672756440000000000,2023-01-03,1.5,1,1672756763000000000,308.0,1.5779654629589985,1.5375048100626139,0.040460652896384675,3.0345489672288433,1,1.193589260443345,2.4276391737830747,1.5779654629589985,0.04171240395170143,4,1.1726611290366196,1.0654638596047936,0.34210526315789475,9,26437.0,-2.245646921765127,3.783151731827741,0.49663270511070623,1,,0,1,1,0.8125,64,0.8125,0.19230769230769232,0.6875,0,0,discovery
1672756440000000000,2023-01-03,2.0,1,1672756849000000000,394.0,2.0028023183710366,1.9218810125782675,0.08092130579276913,3.0345489672288433,1,1.2340499133397298,1.1328982810987682,1.0115163224096144,0.04110774556469061,4,1.3388747342144733,1.3082277769831017,0.39759036144578314,10,26351.0,-1.974544410156223,3.8964254227344908,0.2711025116089041,1,,0,1,1,0.96875,64,0.96875,0.1935483870967742,0.78125,0,0,discovery
1672757100000000000,2023-01-03,0.25,-1,1672757117000000000,2.0,0.39091895137126953,0.1303063171237565,0.260612634247513,0.09121442198662956,0,0.1303063171237565,0.1303063171237565,0.1303063171237565,1.0,0,0.09923833454752785,0.1303063171237565,0.8108108108108109,15,26083.0,-2.772433951143988,2.9027402682677446,0.03600129154510112,1,1.0,1,1,1,0.453125,64,0.5,0.0,0.5,0,0,discovery
1672757100000000000,2023-01-03,0.5,-1,1672757133000000000,18.0,0.6775928490435339,0.5863784270569043,0.09121442198662955,0.2736432659598887,0,0.4951640050702748,0.5863784270569043,0.5863784270569043,0.2830188679245283,4,0.6584016003083333,0.4647591977413983,0.7123287671232877,15,26067.0,-2.772433951143988,3.3588123782008923,0.03600129154510112,1,1.0,1,1,1,0.40625,64,0.421875,0.14814814814814814,0.421875,0,0,discovery
1672757100000000000,2023-01-03,0.75,-1,1672757168000000000,53.0,0.8730523247291686,0.7818379027425391,0.09121442198662955,0.2736432659598887,0,0.4169802147960208,0.29970452938463993,0.7818379027425391,0.14423076923076922,4,0.9993738480309753,0.29536098548051476,0.7613636363636364,16,26032.0,-2.037748561190824,2.819586463933363,0.7346853899531638,1,1.0,1,1,1,0.640625,64,0.65625,0.0,0.71875,0,0,discovery
1672757100000000000,2023-01-03,1.0,-1,1672757271000000000,156.0,1.1076036955519304,1.0685118004148035,0.03909189513712685,0.4560721099331478,0,0.7948685344549149,1.277001907812814,1.1206343272643062,0.08932461873638345,10,0.6868020631330962,0.6862799368517845,0.7083333333333334,17,25929.0,-1.6067678090396327,2.675279609454436,0.43098075215119147,1,1.0,1,1,1,0.671875,64,0.640625,0.07317073170731707,0.625,0,0,discovery
1672757100000000000,2023-01-03,1.25,-1,1672757275000000000,160.0,1.381246961511819,1.3160938029499407,0.06515315856187831,0.4560721099331478,0,1.0685118004148033,1.3291244346623163,1.3551856980870676,0.10687830687830688,10,0.7287840221301006,0.9729538345240486,0.75177304964539,17,25925.0,-1.6067678090396327,2.9228616119895734,0.43098075215119147,1,1.0,1,1,1,0.75,64,0.75,0.08333333333333333,0.734375,0,0,discovery
1672757100000000000,2023-01-03,1.5,-1,1672757300000000000,185.0,1.5376145420603269,1.459430751786073,0.07818379027425393,0.4560721099331478,0,0.521225268495026,0.7036541124682851,1.6288289640469564,0.10313075506445672,10,0.7780280190751662,0.15202403664438258,0.7712418300653595,18,25900.0,-1.3766286692183356,2.8360594210044088,0.23013913982129708,1,1.0,1,1,1,0.75,64,0.671875,0.09302325581395349,0.671875,0,0,discovery
1672757100000000000,2023-01-03,2.0,-1,1672757317000000000,202.0,2.137023600829607,2.058839810555353,0.07818379027425415,0.4560721099331478,0,0.46910274164552335,1.0685118004148033,1.720043386033586,0.13644214162348878,10,0.7853050501398844,0.05212252684950247,0.8241206030150754,18,25883.0,-1.3766286692183356,3.4354684797736885,0.23013913982129708,1,,0,1,1,1.0,64,1.0,0.09375,0.90625,0,0,discovery
1672759620000000000,2023-01-03,0.25,-1,1672759686000000000,51.0,0.2958916116508715,0.2180253980585369,0.07786621359233462,0.4360507961170738,0,0.2958916116508715,0.2803183689324046,0.2180253980585369,0.08139534883720931,3,0.4794940485056434,0.32184701618164974,0.4042553191489362,58,23514.0,-0.7653975231859372,0.9834229212444742,0.08233668176721587,1,0.0,1,0,0,0.34375,64,0.359375,0.13043478260869565,0.3125,0,0,discovery
1672759620000000000,2023-01-03,0.5,-1,1672759769000000000,134.0,0.5294902524278754,0.5294902524278754,0.0,0.4360507961170738,0,0.48277052427247463,0.1868789126216031,0.14015918446620235,0.0794392523364486,5,0.4731293642685109,0.5969743042078988,0.5483870967741936,59,23431.0,-0.6496938010731611,1.1791840535010365,0.11570372211277613,1,0.0,1,0,0,0.546875,64,0.5625,0.2777777777777778,0.421875,0,0,discovery
