anchor,block,speed_tercile,N,fail_before_plus2,plus2_then_giveback,plus2_then_win,giveback_share_of_plus2,median_trig_rel_entry,class,median_time_to_anchor_s,median_pullback_from_mfe,median_mae_before,median_ret30,median_dist_to_trig
1.0,discovery,fast,879,0.34812286689419797,0.12627986348122866,0.5255972696245734,0.193717277486911,-1.2761982428870327,,,,,,
1.0,discovery,mid,887,0.35400225479143177,0.11386696730552424,0.532130777903044,0.1762652705061082,-0.9304881240472758,,,,,,
1.0,discovery,slow,893,0.4087346024636058,0.0851063829787234,0.5061590145576708,0.14393939393939395,-0.6931356681071476,,,,,,
1.0,replication,fast,263,0.3650190114068441,0.11026615969581749,0.5247148288973384,0.17365269461077845,-1.3240919199901475,,,,,,
1.0,replication,mid,311,0.3536977491961415,0.10932475884244373,0.5369774919614148,0.1691542288557214,-0.8796740132553751,,,,,,
1.0,replication,slow,295,0.39661016949152544,0.07457627118644068,0.5288135593220339,0.12359550561797752,-0.691483726867322,,,,,,
1.0,pooled,,1308,,,,,-0.893055502870491,fail_before_plus2,167.0,0.0645867926720613,0.43687921787195416,0.6918127183355074,1.9020052891881298
1.0,pooled,,373,,,,,-1.0477417270450693,plus2_then_giveback,124.0,0.055956170616908274,0.4259569710295879,0.8115790060289074,2.074796736000594
1.0,pooled,,1847,,,,,-0.9460328386157808,plus2_then_win,150.0,0.06106019863661194,0.42011292997540867,0.7205352324086012,1.960836764856913
1.5,discovery,fast,696,0.1824712643678161,0.1839080459770115,0.6336206896551724,0.22495606326889278,-1.119930306003178,,,,,,
1.5,discovery,mid,702,0.20512820512820512,0.13105413105413105,0.6638176638176638,0.16487455197132617,-0.6477262879512526,,,,,,
1.5,discovery,slow,704,0.22301136363636365,0.09659090909090909,0.6803977272727273,0.12431444241316271,-0.3171371378567425,,,,,,
1.5,replication,fast,227,0.2026431718061674,0.14537444933920704,0.6519823788546255,0.18232044198895028,-1.1001324354986337,,,,,,
1.5,replication,mid,228,0.18421052631578946,0.12719298245614036,0.6885964912280702,0.15591397849462366,-0.6415523338858395,,,,,,
1.5,replication,slow,234,0.23504273504273504,0.09829059829059829,0.6666666666666666,0.12849162011173185,-0.3133454377502496,,,,,,
1.5,pooled,,571,,,,,-0.6286616992172435,fail_before_plus2,269.0,0.07064813882317544,0.4841521068839576,0.6849237340553155,2.106645173062648
1.5,pooled,,373,,,,,-0.8545031395228012,plus2_then_giveback,191.0,0.08261296341223212,0.5042000989744605,0.9018202591635025,2.3802284275041257
1.5,pooled,,1847,,,,,-0.6749612821647956,plus2_then_win,258.0,0.06667643979248106,0.45922858498534014,0.7366598398856189,2.17638794921929
