config,capacity_rank,rows,shuffle_seed,shuffled_positive_rate,random_label_train_auc,total_leaves,canary_pass,old_model_random_label_train_auc
L1_stumps,1,4521,20260923,0.33244857332448574,0.5839948113492477,200,True,0.9711100606060606
L2_depth2,2,4521,20260923,0.33244857332448574,0.6373014959698451,369,True,0.9711100606060606
L3_depth3,3,4521,20260923,0.33244857332448574,0.6806231804118734,588,True,0.9711100606060606
