config,capacity_rank,train_n,validation_n,train_auc,validation_auc,validation_auc_ci_lo,validation_auc_ci_hi,train_validation_gap,random_label_train_auc,real_minus_random_train_auc,total_leaves,bagging_active_max_abs_pred_diff,canary_pass,validation_ci_lo_gt_0p5,val_spearman_target_A,val_spearman_mean_terminal_gross_atr,val_spearman_fav2_before_terminal,val_spearman_adv1_before_terminal
L1_stumps,1.0,4521,1503,0.5920528062496611,0.5116268393360426,0.47653269722595165,0.5470971965633549,0.08042596691361847,0.5839948113492477,0.008057994900413368,200.0,0.059989439579216264,True,False,0.6,-0.7,-0.19999999999999998,-0.3
L2_depth2,2.0,4521,1503,0.6400031833836193,0.5178404618000942,0.48591226460385667,0.5500488604803749,0.12216272158352504,0.6373014959698451,0.0027016874137741897,371.0,0.08090638591785226,True,False,0.7999999999999999,-0.7,0.3,-0.6
L3_depth3,3.0,4521,1503,0.6834358673860584,0.5215909907464331,0.4910755681303332,0.5518553534797552,0.16184487663962532,0.6806231804118734,0.002812686974185019,591.0,0.10685275727423188,True,False,0.49999999999999994,-0.3,0.09999999999999999,-0.39999999999999997
control:direction_only,,4521,1503,0.532395447673242,0.5275251698616357,0.4959220735033391,0.559114224309944,0.004870277811606316,,,,,,,,,,
control:mtf_state_only,,4521,1503,0.552630436057419,0.5064701115378166,0.4689121493734063,0.5434003615867821,0.04616032451960239,,,,,,,,,,
