elapsed_s,subset,contrast,variable,n_pos,n_neg,med_pos,iqr_pos,med_neg,iqr_neg,mean_pos,mean_neg,cohen_d,auc,auc_lo,auc_hi,meaningful
0,ALIVE,C1,aligned_5m,2133,3709,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.41303328645100795,0.4073874359665678,0.01147976699308249,0.50282292524222,0.4891965619148609,0.5166510230577782,False
0,ALIVE,C1,aligned_15m,2135,3710,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4641686182669789,0.4660377358490566,-0.0037466063748191236,0.4990654412089612,0.48437997193128507,0.5132841805536664,False
0,ALIVE,C1,aligned_1h,2136,3710,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.49812734082397003,0.4919137466307278,0.012426125612216513,0.5031067970966211,0.49038853536233434,0.5173518905860363,False
0,ALIVE,C1,trans_5m,2133,3709,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.5,0.5,0.5,False
0,ALIVE,C1,n_htf_aligned,2132,3709,1.0,"[0.0, 2.0]",1.0,"[0.0, 2.0]",1.375703564727955,1.3653275815583716,0.009253159473402167,0.5023770838844918,0.48629409814333957,0.5203423360438854,False
0,ALIVE,C2,aligned_5m,1764,369,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4070294784580499,0.44173441734417346,-0.07047623805920478,0.4826475305569382,0.453965139042799,0.5091870551517073,False
0,ALIVE,C2,aligned_15m,1764,371,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.46598639455782315,0.4555256064690027,0.020966341227032784,0.5052303940444102,0.4781384943210542,0.5342192703705457,False
0,ALIVE,C2,aligned_1h,1765,371,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.5048158640226629,0.46630727762803237,0.07701443683133727,0.5192542931973153,0.4916243829905175,0.5456362160477674,False
0,ALIVE,C2,trans_5m,1764,369,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.5,0.5,0.5,False
0,ALIVE,C2,n_htf_aligned,1763,369,1.0,"[0.0, 2.0]",1.0,"[0.0, 2.0]",1.378899602949518,1.3604336043360434,0.016353138833758423,0.5039366871263721,0.4726201613687478,0.5354192623534381,False
0,ALIVE,C3,aligned_5m,1385,4457,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4187725631768953,0.4065514920350011,0.024850240601470494,0.5061105355709471,0.49208264281417535,0.5210083716734484,False
0,ALIVE,C3,aligned_15m,1386,4459,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.47113997113997114,0.46355685131195334,0.015200495174624915,0.5037915599140089,0.4880928443514807,0.5201728961333695,False
0,ALIVE,C3,aligned_1h,1387,4459,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.501802451333814,0.49181430814083876,0.01997494166974936,0.5049940715964876,0.48866175305595355,0.520062723547432,False
0,ALIVE,C3,trans_5m,1385,4457,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.5,0.5,0.5,False
0,ALIVE,C3,n_htf_aligned,1384,4457,1.0,"[0.0, 2.0]",1.0,"[0.0, 2.0]",1.3923410404624277,1.3619026250841373,0.02714610075875876,0.5073015461811712,0.4898450409113664,0.5254014640111739,False
0,PRE2,C1,aligned_5m,2133,3709,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.41303328645100795,0.4073874359665678,0.01147976699308249,0.50282292524222,0.4891965619148609,0.5166510230577782,False
0,PRE2,C1,aligned_15m,2135,3710,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4641686182669789,0.4660377358490566,-0.0037466063748191236,0.4990654412089612,0.48437997193128507,0.5132841805536664,False
0,PRE2,C1,aligned_1h,2136,3710,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.49812734082397003,0.4919137466307278,0.012426125612216513,0.5031067970966211,0.49038853536233434,0.5173518905860363,False
0,PRE2,C1,trans_5m,2133,3709,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.5,0.5,0.5,False
0,PRE2,C1,n_htf_aligned,2132,3709,1.0,"[0.0, 2.0]",1.0,"[0.0, 2.0]",1.375703564727955,1.3653275815583716,0.009253159473402167,0.5023770838844918,0.48629409814333957,0.5203423360438854,False
0,PRE2,C2,aligned_5m,1764,369,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4070294784580499,0.44173441734417346,-0.07047623805920478,0.4826475305569382,0.453965139042799,0.5091870551517073,False
0,PRE2,C2,aligned_15m,1764,371,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.46598639455782315,0.4555256064690027,0.020966341227032784,0.5052303940444102,0.4781384943210542,0.5342192703705457,False
0,PRE2,C2,aligned_1h,1765,371,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.5048158640226629,0.46630727762803237,0.07701443683133727,0.5192542931973153,0.4916243829905175,0.5456362160477674,False
0,PRE2,C2,trans_5m,1764,369,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.5,0.5,0.5,False
0,PRE2,C2,n_htf_aligned,1763,369,1.0,"[0.0, 2.0]",1.0,"[0.0, 2.0]",1.378899602949518,1.3604336043360434,0.016353138833758423,0.5039366871263721,0.4726201613687478,0.5354192623534381,False
0,PRE2,C3,aligned_5m,1385,4457,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4187725631768953,0.4065514920350011,0.024850240601470494,0.5061105355709471,0.49208264281417535,0.5210083716734484,False
0,PRE2,C3,aligned_15m,1386,4459,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.47113997113997114,0.46355685131195334,0.015200495174624915,0.5037915599140089,0.4880928443514807,0.5201728961333695,False
0,PRE2,C3,aligned_1h,1387,4459,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.501802451333814,0.49181430814083876,0.01997494166974936,0.5049940715964876,0.48866175305595355,0.520062723547432,False
0,PRE2,C3,trans_5m,1385,4457,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.5,0.5,0.5,False
0,PRE2,C3,n_htf_aligned,1384,4457,1.0,"[0.0, 2.0]",1.0,"[0.0, 2.0]",1.3923410404624277,1.3619026250841373,0.02714610075875876,0.5073015461811712,0.4898450409113664,0.5254014640111739,False
0,EARLY,C1,aligned_5m,2133,3709,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.41303328645100795,0.4073874359665678,0.01147976699308249,0.50282292524222,0.4891965619148609,0.5166510230577782,False
0,EARLY,C1,aligned_15m,2135,3710,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4641686182669789,0.4660377358490566,-0.0037466063748191236,0.4990654412089612,0.48437997193128507,0.5132841805536664,False
0,EARLY,C1,aligned_1h,2136,3710,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.49812734082397003,0.4919137466307278,0.012426125612216513,0.5031067970966211,0.49038853536233434,0.5173518905860363,False
0,EARLY,C1,trans_5m,2133,3709,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.5,0.5,0.5,False
0,EARLY,C1,n_htf_aligned,2132,3709,1.0,"[0.0, 2.0]",1.0,"[0.0, 2.0]",1.375703564727955,1.3653275815583716,0.009253159473402167,0.5023770838844918,0.48629409814333957,0.5203423360438854,False
0,EARLY,C2,aligned_5m,1764,369,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4070294784580499,0.44173441734417346,-0.07047623805920478,0.4826475305569382,0.453965139042799,0.5091870551517073,False
0,EARLY,C2,aligned_15m,1764,371,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.46598639455782315,0.4555256064690027,0.020966341227032784,0.5052303940444102,0.4781384943210542,0.5342192703705457,False
0,EARLY,C2,aligned_1h,1765,371,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.5048158640226629,0.46630727762803237,0.07701443683133727,0.5192542931973153,0.4916243829905175,0.5456362160477674,False
0,EARLY,C2,trans_5m,1764,369,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.5,0.5,0.5,False
0,EARLY,C2,n_htf_aligned,1763,369,1.0,"[0.0, 2.0]",1.0,"[0.0, 2.0]",1.378899602949518,1.3604336043360434,0.016353138833758423,0.5039366871263721,0.4726201613687478,0.5354192623534381,False
0,EARLY,C3,aligned_5m,1385,4457,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4187725631768953,0.4065514920350011,0.024850240601470494,0.5061105355709471,0.49208264281417535,0.5210083716734484,False
0,EARLY,C3,aligned_15m,1386,4459,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.47113997113997114,0.46355685131195334,0.015200495174624915,0.5037915599140089,0.4880928443514807,0.5201728961333695,False
0,EARLY,C3,aligned_1h,1387,4459,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.501802451333814,0.49181430814083876,0.01997494166974936,0.5049940715964876,0.48866175305595355,0.520062723547432,False
0,EARLY,C3,trans_5m,1385,4457,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.5,0.5,0.5,False
0,EARLY,C3,n_htf_aligned,1384,4457,1.0,"[0.0, 2.0]",1.0,"[0.0, 2.0]",1.3923410404624277,1.3619026250841373,0.02714610075875876,0.5073015461811712,0.4898450409113664,0.5254014640111739,False
30,ALIVE,C1,mfe,2220,3804,0.3463866633660173,"[0.16284158475638852, 0.6077960780044016]",0.22805513476336114,"[0.09453754940040413, 0.4227776924694607]",0.4501544405355149,0.29735511854143,0.4537310008617417,0.6168436970093122,0.601470578811592,0.6316027807105857,True
30,ALIVE,C1,mae,2220,3804,0.2399165095245056,"[0.10059934699912533, 0.4339908037570959]",0.33067121001062016,"[0.1562828848374614, 0.5572425816869336]",0.3095519947327579,0.3968284780532319,-0.27206293637733375,0.41108103371510313,0.39689319866118034,0.42399803099384875,False
30,ALIVE,C1,cur,2220,3804,0.0806727619591142,"[-0.17527872003482992, 0.37541461251500663]",-0.08351495632863822,"[-0.35561404097722804, 0.17704250171820368]",0.12131089557401532,-0.09893852452346213,0.46707792197177994,0.6243686115137219,0.6108346492501721,0.638237688440287,True
30,ALIVE,C1,fav_share,2220,3804,0.593915343915344,"[0.28571428571428575, 0.8571428571428571]",0.4,"[0.15384615384615383, 0.714818763326226]",0.5622331038992818,0.43996512659194104,0.38472674370648363,0.6085528154337303,0.5941884631021315,0.6234314072815011,True
30,ALIVE,C1,mfe_rate,2220,3804,0.6927733267320346,"[0.32568316951277704, 1.2155921560088032]",0.4561102695267223,"[0.18907509880080825, 0.8455553849389214]",0.9003088810710298,0.59471023708286,0.4537310008617417,0.6168436970093122,0.601470578811592,0.6316027807105857,True
30,ALIVE,C1,mae_rate,2220,3804,0.4798330190490112,"[0.20119869399825066, 0.8679816075141918]",0.6613424200212403,"[0.3125657696749228, 1.1144851633738673]",0.6191039894655158,0.7936569561064638,-0.27206293637733375,0.41108103371510313,0.39689319866118034,0.42399803099384875,False
30,ALIVE,C1,d_mfe,2220,3804,0.3463866633660173,"[0.16284158475638852, 0.6077960780044016]",0.22805513476336114,"[0.09453754940040413, 0.4227776924694607]",0.4501544405355149,0.29735511854143,0.4537310008617417,0.6168436970093122,0.601470578811592,0.6316027807105857,True
30,ALIVE,C1,d_mae,2220,3804,0.2399165095245056,"[0.10059934699912533, 0.4339908037570959]",0.33067121001062016,"[0.1562828848374614, 0.5572425816869336]",0.3095519947327579,0.3968284780532319,-0.27206293637733375,0.41108103371510313,0.39689319866118034,0.42399803099384875,False
