regime_start_ns,elapsed_s,alive,mfe,mae,cur,fav_share,mfe_rate,mae_rate,d_mfe,d_mae,fav_expand_adv_stall,adv_expand_fav_stall,aligned_5m,trans_5m,s_since_trans_5m,aligned_15m,trans_15m,s_since_trans_15m,aligned_1h,trans_1h,s_since_trans_1h,n_htf_aligned
1672756440000000000,0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672756440000000000,30,1,0.4248368554120381,1.7195777480963446,-1.6184261158553832,0.19811320754716982,0.8496737108240762,3.439155496192689,0.4248368554120381,1.7195777480963446,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672756440000000000,60,1,0.4248368554120381,1.8409597067854984,-0.910364690168653,0.1875,0.4248368554120381,1.8409597067854984,0.0,0.1213819586891538,0,1,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672756440000000000,120,1,0.4248368554120381,2.731094070505959,-2.6501727647131896,0.1346153846153846,0.21241842770601904,1.3655470352529795,0.0,0.8901343637204606,0,1,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672756440000000000,180,1,0.4248368554120381,3.0345489672288433,-1.8611900332336906,0.12280701754385966,0.14161228513734603,1.0115163224096144,0.0,0.3034548967228843,0,1,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672756440000000000,285,1,0.4248368554120381,3.0345489672288433,-0.8294433843758838,0.12280701754385966,0.0894393379814817,0.6388524141534407,0.0,0.0,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672757100000000000,0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672757100000000000,30,1,0.7166847441806609,0.2736432659598887,0.19545947568563476,0.7236842105263157,1.4333694883613217,0.5472865319197774,0.7166847441806609,0.2736432659598887,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672757100000000000,60,1,0.9251748515786713,0.2736432659598887,0.46910274164552346,0.7717391304347826,0.9251748515786713,0.2736432659598887,0.20849010739801044,0.0,1,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672757100000000000,120,1,0.9251748515786713,0.4560721099331478,-0.026061263424751305,0.669811320754717,0.46258742578933565,0.2280360549665739,0.0,0.1824288439732591,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672757100000000000,180,1,1.381246961511819,0.4560721099331478,1.0945730638395548,0.75177304964539,0.460415653837273,0.1520240366443826,0.45607210993314773,0.0,1,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672757100000000000,285,1,3.335841718368167,0.4560721099331478,2.736432659598887,0.8797250859106529,0.7022824670248773,0.09601518103855743,1.954594756856348,0.0,1,0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0
1672759440000000000,0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672759440000000000,30,1,0.0,0.40964334537557645,-0.24871203112088572,0.0,0.0,0.8192866907511529,0.0,0.40964334537557645,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672759440000000000,60,1,0.0,0.5559445401525681,-0.3950132258978773,0.0,0.0,0.5559445401525681,0.0,0.14630119477699166,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672759440000000000,120,1,0.02926023895539832,0.5559445401525681,-0.5120541817194706,0.049999999999999996,0.01463011947769916,0.27797227007628406,0.02926023895539832,0.0,1,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672759440000000000,180,0,0.02926023895539832,1.0679987218720386,-0.7753963323180555,0.02666666666666667,0.009753412985132773,0.3559995739573462,0.0,0.5120541817194705,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672759440000000000,285,0,0.02926023895539832,1.2142999166490303,-1.0826288413497378,0.023529411764705882,0.006160050306399646,0.25564208771558533,0.0,0.14630119477699166,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672759620000000000,0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672759620000000000,30,1,0.031146485436933845,0.4360507961170738,-0.015573242718466922,0.06666666666666667,0.06229297087386769,0.8721015922341476,0.031146485436933845,0.4360507961170738,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672759620000000000,60,1,0.42047755339860693,0.4360507961170738,0.38933106796167305,0.4909090909090909,0.42047755339860693,0.4360507961170738,0.3893310679616731,0.0,1,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672759620000000000,120,1,0.4827705242724746,0.4360507961170738,0.09343945631080154,0.5254237288135594,0.2413852621362373,0.2180253980585369,0.06229297087386765,0.0,1,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672759620000000000,180,1,0.8253818640787469,0.4827705242724746,0.7475156504864123,0.6309523809523809,0.275127288026249,0.16092350809082487,0.34261133980627234,0.046719728155400764,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672759620000000000,285,1,1.7286299417498283,0.4827705242724746,0.8253818640787469,0.7816901408450705,0.36392209299996386,0.10163589984683676,0.9032480776710814,0.0,1,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672760340000000000,0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672760340000000000,30,1,0.1376339299356095,0.4817187547746332,-0.37849330732292613,0.2222222222222222,0.275267859871219,0.9634375095492664,0.1376339299356095,0.4817187547746332,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672760340000000000,60,1,0.1376339299356095,0.5677399609843892,0.08602120620975594,0.19512195121951217,0.1376339299356095,0.5677399609843892,0.0,0.08602120620975595,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672760340000000000,120,1,0.9118247858234129,0.5677399609843892,0.825803579613657,0.6162790697674418,0.45591239291170643,0.2838699804921946,0.7741908558878033,0.0,1,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672760340000000000,180,1,0.9462332683073152,0.5677399609843892,0.5849442022263404,0.625,0.31541108943577173,0.18924665366146307,0.03440848248390238,0.0,1,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672760340000000000,285,1,0.9462332683073152,0.5677399609843892,-0.017204241241951187,0.625,0.19920700385417164,0.11952420231250298,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672760700000000000,0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672760700000000000,30,1,0.0,0.497332267423479,-0.47891255381520204,0.0,0.0,0.994664534846958,0.0,0.497332267423479,0,1,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672760700000000000,60,1,0.0,0.7920476851559111,-0.699949117114526,0.0,0.0,0.7920476851559111,0.0,0.29471541773243204,0,1,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672760700000000000,120,0,0.0,1.65777422474493,-1.307799666187667,0.0,0.0,0.828887112372465,0.0,0.865726539589019,0,1,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672760700000000000,180,0,0.0,1.65777422474493,-0.7920476851559111,0.0,0.0,0.55259140824831,0.0,0.0,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672760700000000000,285,0,0.0,1.65777422474493,-0.994664534846958,0.0,0.0,0.3490050999463011,0.0,0.0,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672760820000000000,0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672760820000000000,30,1,0.089334934447974,0.3752067246814908,-0.1250689082271636,0.19230769230769232,0.178669868895948,0.7504134493629816,0.089334934447974,0.3752067246814908,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672760820000000000,60,1,0.089334934447974,0.536009606687844,-0.44667467223987,0.14285714285714285,0.089334934447974,0.536009606687844,0.0,0.16080288200635323,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672760820000000000,120,1,0.1250689082271636,0.6610785149150076,-0.1965368557855428,0.1590909090909091,0.0625344541135818,0.3305392574575038,0.035733973779189604,0.12506890822716354,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672760820000000000,180,1,0.1250689082271636,0.6610785149150076,-0.536009606687844,0.1590909090909091,0.0416896360757212,0.2203595049716692,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672760820000000000,285,0,0.1250689082271636,1.5722948462843425,-1.4114919642779893,0.07368421052631578,0.026330296468876548,0.33100944132301946,0.0,0.9112163313693349,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1672761120000000000,0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672761120000000000,30,1,0.13493790097196331,0.3469831739279057,-0.3277063309319109,0.27999999999999997,0.26987580194392663,0.6939663478558113,0.13493790097196331,0.3469831739279057,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672761120000000000,60,1,0.13493790097196331,0.886734777815759,-0.6361358188678271,0.13207547169811318,0.13493790097196331,0.886734777815759,0.0,0.5397516038878534,0,1,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672761120000000000,120,1,0.13493790097196331,0.886734777815759,-0.1542147439679581,0.13207547169811318,0.06746895048598166,0.4433673889078795,0.0,0.0,0,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
1672761120000000000,180,1,0.7903505628357852,0.886734777815759,0.5975821328758376,0.47126436781609193,0.2634501876119284,0.29557825927191966,0.6554126618638219,0.0,1,0,1.0,0.0,,1.0,0.0,,1.0,0.0,,3.0
