elapsed_s,alive_n,alive_pct_of_all,alive_pct_G1,alive_pct_plus2,plus2_alive_n,plus2_already_0p5_pct,plus2_already_1p0_pct,plus2_already_2p0_pct,plus2_median_mfe,G1_median_mfe,plus2_median_mae,G1_median_mae,C1_PRE2_best_var,C1_PRE2_best_auc,C1_PRE2_best_ci,C1_PRE2_n_meaningful,C1_PRE2_auc_mfe,C1_PRE2_auc_aligned_5m,C1_EARLY_best_var,C1_EARLY_best_auc,C1_EARLY_best_ci,C1_EARLY_n_meaningful,C1_EARLY_auc_mfe,C1_EARLY_auc_aligned_5m,C2_PRE2_best_var,C2_PRE2_best_auc,C2_PRE2_best_ci,C2_PRE2_n_meaningful,C2_PRE2_auc_mfe,C2_PRE2_auc_aligned_5m
0,6024,100.0,100.0,100.0,2220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aligned_1h,0.5031067970966211,"[0.490, 0.517]",0,,0.50282292524222,aligned_1h,0.5031067970966211,"[0.490, 0.517]",0,,0.50282292524222,aligned_1h,0.5192542931973153,"[0.492, 0.546]",0,,0.4826475305569382
30,6024,100.0,100.0,100.0,2220,33.73873873873874,9.27927927927928,1.0810810810810811,0.3463866633660173,0.22805513476336114,0.2399165095245056,0.33067121001062016,cur,0.6209525157106219,"[0.607, 0.635]",5,0.612656196430179,0.5033171773269955,cur,0.6025372996313256,"[0.589, 0.617]",1,0.5942174012680468,0.5042490840392223,aligned_1h,0.5220100088686178,"[0.493, 0.549]",0,0.4838622218741151,0.48355094379308255
60,5957,98.88778220451528,98.23869610935857,100.0,2220,55.36036036036036,22.387387387387385,4.72972972972973,0.5665712095356124,0.31938139807600924,0.31639942505671353,0.48713241127624757,cur,0.6615959755837574,"[0.648, 0.675]",8,0.6427936468172407,0.5055365292171519,cur,0.6318299482659993,"[0.617, 0.646]",4,0.6103268312303136,0.5112518798502368,mae,0.4635299057417834,"[0.426, 0.500]",0,0.49897509480373065,0.4883233632639898
120,5615,93.21049136786189,89.27444794952682,99.95495495495496,2219,74.89860297431275,43.39792699414151,12.032447048219918,0.8926741562718672,0.4651801051153075,0.3818359753166457,0.6712985199064867,cur,0.7107079024986,"[0.696, 0.725]",10,0.6756366578810172,0.5092876610543522,cur,0.662693121459899,"[0.646, 0.680]",7,0.6219006898375686,0.5075727418779008,mae,0.4384246447497626,"[0.402, 0.473]",0,0.4998843560049666,0.47934630834998176
180,5177,85.93957503320053,77.83911671924291,99.81981981981983,2216,82.85198555956678,58.30324909747292,22.021660649819495,1.1729798944052328,0.5849075305526075,0.42881068789173227,0.7571398397329789,cur,0.709679537693722,"[0.694, 0.725]",7,0.6689763022690032,0.5157943627977744,cur,0.6417367279361185,"[0.621, 0.662]",2,0.593343331316775,0.5131200458762267,mae,0.4331237012674254,"[0.395, 0.471]",0,0.5130692061045592,0.4843048214233566
285,4306,71.48074369189906,55.36277602523659,99.09909909909909,2200,92.18181818181819,75.5,37.90909090909091,1.6568379973217375,0.799506379799668,0.46385706262526183,0.8181508436390912,cur,0.7174808363192942,"[0.699, 0.737]",7,0.6642719886985382,0.5187724847468339,cur,0.6293015961515486,"[0.605, 0.655]",1,0.57326325995037,0.5167163961978575,mae,0.3875254979674304,"[0.345, 0.431]",2,0.5365087286628648,0.4649148568925986
