event,n,P(reach_plus2),P(reach_plus3),P(win),median_t_since_t0_s,pct_5m_aligned_at_touch,pct_adv1_before_touch,P(win_given_plus2 (C2))
fav_0p5,4519,49.12591281256915,31.865456959504314,44.30183668953308,54.0,41.72018348623853,13.410046470458065,
fav_1p0,3528,62.925170068027214,40.816326530612244,56.4625850340136,152.0,43.89312977099237,18.735827664399093,
fav_1p5,2791,79.54138301683984,51.59441060551774,70.44070225725547,250.0,47.65625,19.88534575420996,
fav_2p0,2220,,64.86486486486487,,358.0,52.97702766057196,20.405405405405403,83.1981981981982
