regime_start_ns,event,t_since_t0_s,mae_through_touch,adv0p5_before,adv1_before,s_from_prev_level,aligned_5m,trans_5m,aligned_15m,trans_15m,aligned_1h,trans_1h
1672771980000000000,fav_2p0,455.0,0.3259247275016036,0,0,385.0,1.0,0.0,1.0,1.0,0.0,0.0
1672773360000000000,fav_0p5,9.0,0.0,0,0,9.0,1.0,0.0,1.0,0.0,0.0,0.0
1672773600000000000,fav_0p5,220.0,0.7231752328042418,1,0,220.0,0.0,0.0,0.0,0.0,1.0,0.0
1672773600000000000,fav_1p0,241.0,0.7231752328042418,1,0,21.0,0.0,0.0,0.0,0.0,1.0,0.0
1672773600000000000,fav_1p5,683.0,0.7231752328042418,1,0,442.0,0.0,0.0,0.0,0.0,1.0,0.0
1672773600000000000,fav_2p0,712.0,0.7231752328042418,1,0,29.0,0.0,0.0,0.0,0.0,1.0,0.0
1672774920000000000,fav_0p5,66.0,0.22917020689984843,0,0,66.0,0.0,0.0,1.0,0.0,0.0,0.0
1672774920000000000,fav_1p0,76.0,0.22917020689984843,0,0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
1672774920000000000,fav_1p5,88.0,0.22917020689984843,0,0,12.0,0.0,0.0,1.0,0.0,0.0,0.0
1672774920000000000,fav_2p0,154.0,0.22917020689984843,0,0,66.0,0.0,0.0,1.0,0.0,0.0,0.0
1672776840000000000,fav_0p5,53.0,0.15157059603214845,0,0,53.0,1.0,0.0,1.0,0.0,0.0,0.0
1672776840000000000,fav_1p0,58.0,0.15157059603214845,0,0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
1672776840000000000,fav_1p5,60.0,0.15157059603214845,0,0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
1672777860000000000,fav_0p5,51.0,1.0595274186195929,1,1,51.0,1.0,0.0,1.0,0.0,0.0,0.0
1672777860000000000,fav_1p0,52.0,1.0595274186195929,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1672778280000000000,fav_0p5,221.0,1.006084882050908,1,1,221.0,0.0,0.0,0.0,0.0,1.0,0.0
1672778280000000000,fav_1p0,446.0,1.006084882050908,1,1,225.0,0.0,0.0,0.0,0.0,1.0,0.0
1672778940000000000,fav_0p5,48.0,1.0216213079911929,1,1,48.0,1.0,0.0,1.0,0.0,0.0,0.0
1672778940000000000,fav_1p0,49.0,1.0216213079911929,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1672780080000000000,fav_0p5,200.0,0.4117172128207862,0,0,200.0,,,,,,
1672780080000000000,fav_1p0,227.0,0.4117172128207862,0,0,27.0,,,,,,
1672842660000000000,fav_0p5,6.0,0.32199365250717554,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1672842660000000000,fav_1p0,7.0,0.32199365250717554,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1672842660000000000,fav_1p5,13.0,0.32199365250717554,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1672842660000000000,fav_2p0,16.0,0.32199365250717554,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1672843020000000000,fav_0p5,203.0,1.5793717604913875,1,1,203.0,0.0,0.0,1.0,0.0,1.0,0.0
1672843020000000000,fav_1p0,219.0,1.5793717604913875,1,1,16.0,0.0,0.0,1.0,0.0,1.0,0.0
1672843020000000000,fav_1p5,270.0,1.5793717604913875,1,1,51.0,0.0,0.0,1.0,0.0,1.0,0.0
1672843440000000000,fav_0p5,9.0,0.10802710551654625,0,0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
1672843440000000000,fav_1p0,27.0,0.10802710551654625,0,0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
1672843440000000000,fav_1p5,123.0,0.10802710551654625,0,0,96.0,1.0,0.0,1.0,1.0,0.0,0.0
1672844460000000000,fav_0p5,182.0,2.983058080566457,1,1,182.0,1.0,0.0,1.0,0.0,0.0,0.0
1672844460000000000,fav_1p0,213.0,2.983058080566457,1,1,31.0,1.0,0.0,1.0,0.0,0.0,0.0
1672844460000000000,fav_1p5,218.0,2.983058080566457,1,1,5.0,1.0,0.0,1.0,0.0,0.0,0.0
1672844460000000000,fav_2p0,219.0,2.983058080566457,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1672845420000000000,fav_0p5,33.0,0.24575183886745697,0,0,33.0,0.0,0.0,0.0,0.0,1.0,0.0
1672845780000000000,fav_0p5,55.0,0.4978345965371675,0,0,55.0,1.0,0.0,1.0,0.0,0.0,0.0
1672846200000000000,fav_0p5,374.0,1.707722550236046,1,1,374.0,0.0,0.0,0.0,0.0,1.0,0.0
1672846200000000000,fav_1p0,836.0,1.707722550236046,1,1,462.0,0.0,0.0,0.0,0.0,1.0,0.0
1672846200000000000,fav_1p5,842.0,1.707722550236046,1,1,6.0,0.0,0.0,0.0,0.0,1.0,0.0
1672846200000000000,fav_2p0,893.0,1.707722550236046,1,1,51.0,0.0,0.0,0.0,0.0,1.0,0.0
1672848060000000000,fav_0p5,62.0,0.24199568407442912,0,0,62.0,0.0,0.0,1.0,0.0,0.0,0.0
1672848540000000000,fav_0p5,64.0,0.3919784687335377,0,0,64.0,1.0,0.0,0.0,0.0,1.0,0.0
1672848540000000000,fav_1p0,84.0,0.3919784687335377,0,0,20.0,1.0,0.0,0.0,0.0,1.0,0.0
1672848540000000000,fav_1p5,268.0,0.3919784687335377,0,0,184.0,1.0,0.0,0.0,0.0,1.0,0.0
1672848540000000000,fav_2p0,1101.0,0.3919784687335377,0,0,833.0,1.0,0.0,0.0,0.0,1.0,0.0
1672851360000000000,fav_0p5,66.0,0.2806829806729238,0,0,66.0,1.0,0.0,1.0,0.0,1.0,0.0
1672851600000000000,fav_0p5,70.0,0.3642500781356145,0,0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
1672851600000000000,fav_1p0,188.0,0.3642500781356145,0,0,118.0,0.0,0.0,0.0,0.0,0.0,0.0
1672851600000000000,fav_1p5,375.0,0.3642500781356145,0,0,187.0,0.0,0.0,0.0,0.0,0.0,0.0
1672851600000000000,fav_2p0,376.0,0.3642500781356145,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1672852560000000000,fav_0p5,161.0,0.5894379435800067,1,0,161.0,1.0,0.0,1.0,0.0,1.0,0.0
1672852560000000000,fav_1p0,325.0,0.5894379435800067,1,0,164.0,1.0,0.0,1.0,0.0,1.0,0.0
1672852560000000000,fav_1p5,470.0,0.5894379435800067,1,0,145.0,1.0,0.0,1.0,0.0,1.0,0.0
1672853220000000000,fav_0p5,155.0,0.5634762943127195,1,0,155.0,0.0,0.0,0.0,0.0,0.0,0.0
1672854540000000000,fav_0p5,130.0,0.9277736869814129,1,0,130.0,0.0,0.0,0.0,0.0,0.0,0.0
1672854540000000000,fav_1p0,143.0,0.9277736869814129,1,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
1672854540000000000,fav_1p5,193.0,0.9277736869814129,1,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
1672854540000000000,fav_2p0,235.0,0.9277736869814129,1,0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
1672855860000000000,fav_0p5,27.0,0.0,0,0,27.0,0.0,0.0,1.0,0.0,1.0,0.0
1672855860000000000,fav_1p0,156.0,0.0,0,0,129.0,0.0,0.0,1.0,0.0,1.0,0.0
1672855860000000000,fav_1p5,261.0,0.0,0,0,105.0,0.0,0.0,1.0,0.0,1.0,0.0
1672855860000000000,fav_2p0,265.0,0.0,0,0,4.0,0.0,0.0,1.0,0.0,1.0,0.0
1672857720000000000,fav_0p5,261.0,1.0282590553218687,1,1,261.0,0.0,0.0,0.0,0.0,0.0,0.0
1672857720000000000,fav_1p0,329.0,1.0282590553218687,1,1,68.0,0.0,0.0,0.0,0.0,0.0,0.0
1672857720000000000,fav_1p5,334.0,1.0282590553218687,1,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1672857720000000000,fav_2p0,342.0,1.0282590553218687,1,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0
1672859760000000000,fav_0p5,45.0,0.010860795665672149,0,0,45.0,0.0,0.0,1.0,0.0,1.0,0.0
1672859760000000000,fav_1p0,70.0,0.010860795665672149,0,0,25.0,0.0,0.0,1.0,0.0,1.0,0.0
1672860120000000000,fav_0p5,14.0,0.19358535284046588,0,0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
1672860120000000000,fav_1p0,75.0,0.19358535284046588,0,0,61.0,1.0,0.0,0.0,0.0,0.0,0.0
1672860120000000000,fav_1p5,197.0,0.19358535284046588,0,0,122.0,1.0,0.0,0.0,0.0,0.0,0.0
1672860120000000000,fav_2p0,200.0,0.19358535284046588,0,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
1672861320000000000,fav_0p5,243.0,0.742897090250523,1,0,243.0,0.0,0.0,0.0,0.0,1.0,0.0
1672862160000000000,fav_0p5,239.0,0.7952917001469821,1,0,239.0,1.0,1.0,0.0,0.0,1.0,0.0
1672862160000000000,fav_1p0,303.0,0.7952917001469821,1,0,64.0,1.0,1.0,0.0,0.0,1.0,0.0
1672862160000000000,fav_1p5,326.0,0.7952917001469821,1,0,23.0,1.0,1.0,0.0,0.0,1.0,0.0
1672862160000000000,fav_2p0,327.0,0.7952917001469821,1,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
1672862940000000000,fav_0p5,248.0,0.7860703739395427,1,0,248.0,0.0,0.0,1.0,0.0,0.0,0.0
1672863720000000000,fav_0p5,23.0,0.3510619843321166,0,0,23.0,0.0,0.0,1.0,0.0,0.0,0.0
1672863720000000000,fav_1p0,466.0,1.1507031708663822,1,1,443.0,1.0,1.0,1.0,0.0,0.0,0.0
1672863720000000000,fav_1p5,536.0,1.1507031708663822,1,1,70.0,1.0,1.0,1.0,0.0,0.0,0.0
1672863720000000000,fav_2p0,738.0,1.1507031708663822,1,1,202.0,1.0,1.0,1.0,0.0,0.0,0.0
1672865340000000000,fav_0p5,24.0,0.2996638122291016,0,0,24.0,0.0,0.0,0.0,0.0,1.0,0.0
1672865340000000000,fav_1p0,46.0,0.2996638122291016,0,0,22.0,0.0,0.0,0.0,0.0,1.0,0.0
1672865340000000000,fav_1p5,48.0,0.2996638122291016,0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1672865340000000000,fav_2p0,326.0,0.2996638122291016,0,0,278.0,0.0,0.0,0.0,0.0,1.0,0.0
1672866840000000000,fav_0p5,22.0,0.13449928973892894,0,0,22.0,,,,,,
1672866840000000000,fav_1p0,690.0,0.13449928973892894,0,0,668.0,,,,,,
1672866840000000000,fav_1p5,727.0,0.13449928973892894,0,0,37.0,,,,,,
1672866840000000000,fav_2p0,1130.0,0.13449928973892894,0,0,403.0,,,,,,
1672929000000000000,fav_0p5,39.0,1.526925626758308,1,1,39.0,0.0,0.0,0.0,0.0,0.0,0.0
1672929120000000000,fav_0p5,46.0,1.6125501692927966,1,1,46.0,1.0,0.0,1.0,0.0,1.0,0.0
1672929120000000000,fav_1p0,54.0,1.6125501692927966,1,1,8.0,1.0,0.0,1.0,0.0,1.0,0.0
1672929120000000000,fav_1p5,81.0,1.6125501692927966,1,1,27.0,1.0,0.0,1.0,0.0,1.0,0.0
1672929120000000000,fav_2p0,106.0,1.6125501692927966,1,1,25.0,1.0,0.0,1.0,0.0,1.0,0.0
1672930320000000000,fav_0p5,74.0,0.37505622256810994,0,0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
1672930320000000000,fav_1p0,174.0,0.37505622256810994,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1672930320000000000,fav_1p5,174.0,0.37505622256810994,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
