anchor,speed,N,median_trig_rel_entry,median_dist_to_trig,median_mfe_to_trig,median_catchup1,mean_real_final_pnl,mean_real_giveback,mean_real_add_mfe,mean_null_final_pnl,mean_null_giveback,mean_null_add_mfe
0.5,fast,1527,-1.4370753435130235,1.9530616970118773,2.011601983724683,0.16195693448822834,0.5290074118897596,2.4823457534981888,2.4235820880032106,0.5081442186038957,2.4161696242069937,2.336542765426152
0.5,mid,1477,-1.192647339011392,1.6963617056443452,1.7667053785452114,0.22013975115366446,0.45235748001053094,2.2460368076235064,2.116558755469753,0.49633255704488355,2.3605587604268945,2.2750557853074933
0.5,slow,1515,-1.0054375812620622,1.512077204706449,1.584524284494065,0.10692145910741147,0.5130021627954483,2.2260814751025855,2.155488439455833,0.48917871898392623,2.3064359268668237,2.21201944740855
1.0,fast,1154,-1.2910253114827621,2.3065534695812087,2.3959374759842955,0.21820139050303633,1.0263358392739232,2.6409550974815446,2.5578980680560597,0.9784248538645065,2.496820924023154,2.365852909188252
1.0,mid,1195,-0.9180422919046344,1.9291159694781803,1.9997223156323614,0.1783511599601676,0.9808776589820036,2.344053021831661,2.227544457303698,1.0070114742886578,2.424270190915922,2.3338954416946134
1.0,slow,1179,-0.6929878221820455,1.7025021086805634,1.7803591083983865,0.12229040499534927,0.989411028369836,2.235521575732807,2.1347487191081687,0.992844968974387,2.337181989880408,2.23984307386032
1.5,fast,931,-1.1147339086518513,2.630872278138183,2.72533418364017,0.23305956839465125,1.4378811298102323,2.7496894609853637,2.5701522372114005,1.5019284928939953,2.5599938114445355,2.444503950754336
1.5,mid,927,-0.6422202838212462,2.1438881043317526,2.224950295556359,0.18999875494985083,1.550529393684721,2.428801984099164,2.3786752960964925,1.5201264157141738,2.4660680765569087,2.3855384105836897
1.5,slow,933,-0.3155579512060726,1.820337318240421,1.9000308989335544,0.14349183126761217,1.5357093012837646,2.220659043727744,2.1625318590885603,1.4779774108467119,2.3580544767472933,2.2421954016710566
2.0,fast,737,-0.9201962371512058,2.9201780397362573,3.043450474153625,0.27151769675213466,1.9727480117070293,2.8824962911260417,2.7308655811593403,1.9987264525928292,2.6221087401042706,2.4964564710233694
2.0,mid,751,-0.2862497119956342,2.2940951823745714,2.359409448778965,0.21125176403468615,2.035560603254655,2.4861286558196998,2.418387912580468,2.0069279369900666,2.486812071234884,2.3904386617310633
2.0,slow,732,0.09029310224692114,1.9135718136045647,1.999335047312587,0.15197865306564184,2.0884992796905415,2.181368115963258,2.171167283150717,1.9676861625939774,2.3592267792745902,2.2282128293654853
3.0,fast,471,-0.3482237671655465,3.3740920095627303,3.4878573889912343,0.3340937689467884,3.034824555085161,3.1749410788545513,3.0572116156191815,3.0263872427463614,2.7015002730634,2.575333497489229
3.0,mid,484,0.4849678397969095,2.504147211821685,2.6073969014828466,0.23445749219781425,3.011583272818752,2.495361944369682,2.404297200476259,2.979981453812833,2.5291625163713207,2.4064959534719788
3.0,slow,485,1.0605096189468426,1.9502726769752234,2.0553729242740064,0.16713985775772322,3.1147312828368254,2.2297808791960674,2.244998966314013,2.994943477682816,2.3495122145558573,2.244942496519793
