anchor,block,N,real_final_pnl,null_final_pnl,res_final_pnl,res_final_pnl_lo,res_final_pnl_hi,real_add_mfe,null_add_mfe,res_add_mfe,res_add_mfe_lo,res_add_mfe_hi,real_giveback,null_giveback,res_giveback,res_giveback_lo,res_giveback_hi,real_frac_surrendered,null_frac_surrendered,res_frac_surrendered,res_frac_surrendered_lo,res_frac_surrendered_hi,real_exit_below_entry,null_exit_below_entry,res_exit_below_entry,res_exit_below_entry_lo,res_exit_below_entry_hi,real_giveback_ge_1A,null_giveback_ge_1A,res_giveback_ge_1A,res_giveback_ge_1A_lo,res_giveback_ge_1A_hi,real_boundary_component,null_boundary_component,real_fill_gap,null_fill_gap,real_term_s,null_term_s
0.0,discovery,4521,-0.0441182333771355,-0.0077480426661099625,-0.03637019071102555,-0.09777362010100848,0.027069178566833572,2.120037411140389,2.2089869898366756,-0.08894957869628654,-0.15190428395766623,-0.020479143986528486,2.2173881105002966,2.2699674984855576,-0.05257938798526099,-0.07936228525524452,-0.023878938343987573,4.361063229962292,4.188315628722223,0.168714127894075,-0.11492557833883765,0.5045463226184307,0.6675514266755143,0.6637336598318442,0.0038177668436700416,-0.009099573769601115,0.01636751341253104,0.975669099756691,0.9940965107452159,-0.018427410988524774,-0.022101935007902477,-0.014982201730277735,2.2216682292068786,2.272087225911568,0.0042801187065816685,0.002119727426009978,782.513603185136,761.8528780771916
0.0,replication,1503,0.02108324617842735,-0.00912307586593887,0.0302063220443662,-0.07204610422523643,0.14918125189308645,2.1050511622056667,2.1909234173246364,-0.08587225511896958,-0.18775711939986847,0.035654772165936925,2.137844179747206,2.2539227569105424,-0.1160785771633358,-0.15783513599067167,-0.07747962884344628,4.229730056954057,4.22277032144878,0.010996547496450005,-0.369850580097428,0.41260765472441213,0.6679973386560213,0.6624914481967266,0.0055058904592947275,-0.018245177577208463,0.02849990949394142,0.9727212242182302,0.995393126317769,-0.02267190209953876,-0.028217544855350447,-0.017436365060547205,2.1441189155205107,2.2559710585366806,0.0062747357733043945,0.002048301626138673,789.6819693945442,763.037597456661
0.0,pooled,6024,-0.02785033434459716,-0.008091116188577234,-0.01975921815601994,-0.0799331171497026,0.036026631515385724,2.1162983121780905,2.204480092511709,-0.08818178033361929,-0.15167813358791268,-0.023984582096688755,2.1975417413233553,2.2659643035009545,-0.06842256217759939,-0.09153380644721112,-0.04472599722252978,4.3282521513876695,4.196912143192344,0.12931141032856555,-0.15598193920421516,0.38894689197920174,0.6676626826029216,0.6634237255543571,0.004238957048564449,-0.007531458904421435,0.01588378685888886,0.974933598937583,0.9944200189134673,-0.01948641997588434,-0.022705701948242164,-0.016382283768760126,2.2023195209614252,2.2680662100476146,0.004777779638069759,0.0021019065466596175,784.3021248339974,762.148467922368
0.5,discovery,3392,0.4799646641986941,0.4978176387652856,-0.01785297456659149,-0.09794857296518217,0.0655681868157345,2.235759114515516,2.277932215931888,-0.04217310141637211,-0.1200336414301405,0.04733646971186328,2.341791814316502,2.3661119411662823,-0.024320126849780622,-0.056318919101911814,0.007510057135158382,1.4166289847293296,1.420526248176571,-0.003897263447240975,-0.038668653079111735,0.0300682010231702,0.5568985849056604,0.5619784295070747,-0.005079844601414358,-0.02063130046527815,0.011373950785245826,0.9790683962264151,0.999128814418883,-0.020060418192468,-0.02375028903218093,-0.01650489031369005,2.3467620317210973,2.368072392137048,0.00497021740459594,0.001960450970765909,846.4003537735849,822.5030751706397
0.5,replication,1127,0.5546445888237362,0.49824998858229025,0.05639460024144595,-0.05695197100995582,0.20142307811864213,2.226119964107085,2.2649703496786953,-0.03885038557161006,-0.15034558024337932,0.10522222652459999,2.251192485421914,2.3464374712349696,-0.095244985813056,-0.13739117054144206,-0.053032065335855263,1.3980112443479344,1.4113413708108533,-0.013330126462918968,-0.07629919743073713,0.04742380327752644,0.5572315882874889,0.5592725589753612,-0.0020409706878723485,-0.03199960952413786,0.024973979329569136,0.9751552795031055,0.9994911508161998,-0.02433587131309425,-0.030836888770936384,-0.018155632370867855,2.257367348511251,2.348071346881777,0.006174863089336958,0.0016338756468074268,862.7471162377994,823.383864935081
0.5,pooled,4519,0.4985891995057139,0.49792546311663854,0.0006637363890752944,-0.07365733677965476,0.07110435683865106,2.2333551927385074,2.27469963720488,-0.04134444446637281,-0.1210376904246688,0.032586170286912804,2.319197115563636,2.361205296419084,-0.04200818085544811,-0.0683745463621794,-0.014939847738784713,1.4119858793056004,1.4182356182161453,-0.006249738910544605,-0.039095330449505306,0.023826918398754643,0.5569816331046692,0.5613036085092343,-0.004321975404565089,-0.018330255354989916,0.010463160595992659,0.9780924983403407,0.9992191780214005,-0.021126679681059676,-0.024741700100927886,-0.017866252862883274,2.3244677613122686,2.3630843022935673,0.005270645748632922,0.0018790058744832779,850.4770967028104,822.7227366144382
1.0,discovery,2659,0.9682736160196663,0.9891903350941289,-0.020916719074462367,-0.11024970687933884,0.0782633073679772,2.2985718072888917,2.3116292352729495,-0.01305742798405768,-0.1021948194178507,0.08541560894145755,2.4301403879806367,2.422281096890232,0.00785929109040469,-0.02768284897710563,0.04690574453592054,1.0151742117876228,1.01305675223993,0.0021174595476929187,-0.020567691067303925,0.026725814261890024,0.43738247461451674,0.4416696193682514,-0.004287144753734554,-0.022684455700337034,0.014356809931414976,0.9811959383226777,0.9995721952886415,-0.01837625696596374,-0.02303266168077442,-0.013995898935599738,2.435241306558782,2.4244250131326064,0.005100918578145594,0.0021439162423741807,885.8773975178639,861.8282138096695
1.0,replication,869,1.091388283610294,1.0043591605754887,0.08702912303480495,-0.07177967782639576,0.25746228358713447,2.3230107034084915,2.31686094075817,0.006149762650321125,-0.15000921964907013,0.1743296593872877,2.327666501416576,2.40854586180106,-0.08087936038448387,-0.13113784549876265,-0.030617321296062004,0.9862041839957414,1.0072680614314575,-0.02106387743571627,-0.05865969161848039,0.014827950459203728,0.42922899884925203,0.4395460459013924,-0.010317047052140382,-0.037831733549051824,0.018581788475403038,0.9769850402761795,0.9991392564437659,-0.022154216167586376,-0.029848629517623942,-0.01440822346555245,2.3348543405978908,2.4104022583270432,0.007187839181314907,0.001856396525983623,908.512082853855,870.2357888064212
1.0,pooled,3528,0.9985986290968363,0.9929266472662666,0.005671981830569746,-0.08099056041337505,0.09399777463714161,2.3045914786970356,2.3129178838179207,-0.008326405120884445,-0.09361666435014347,0.08474297559364574,2.4048995128604074,2.4188978998118613,-0.0139983869514542,-0.04256682966452828,0.01584727355154378,1.0080384538082734,1.0116309097477072,-0.0035924559394336633,-0.02314436165074271,0.01714088300593892,0.43537414965986393,0.4411465509604564,-0.0057724013005924545,-0.021221104627557146,0.010456387567932646,0.9801587301587301,0.9994655558736196,-0.019306825714889498,-0.023125994556460094,-0.015371581641321729,2.4105144716891633,2.420970995579875,0.005614958828756176,0.002073095768013808,891.452664399093,863.8991272655021
1.5,discovery,2102,1.473593877808486,1.4943638535777026,-0.020769975769216527,-0.13177890808647516,0.09989084744302297,2.363232704955394,2.3513730038506147,0.011859701104779106,-0.09732830659243026,0.12744342442391252,2.497252614208528,2.4646229373345325,0.03262967687399565,-0.008979385244835434,0.07630036603086772,0.8114535095054646,0.8122015288253875,-0.0007480193199228772,-0.019672012622853428,0.01824917391777803,0.29638439581351095,0.3015051683116203,-0.005120772498109368,-0.023597509884580807,0.012843418734708264,0.9804947668886774,0.999508149682379,-0.019013382793701464,-0.024197467040398546,-0.013976562853303433,2.5022979882871175,2.4666313419030432,0.005045374078589684,0.0020084045685111484,922.4490960989534,892.3128042595222
