anchor,lag,tercile,block,N,lag_median,real_final_pnl,null_final_pnl,res_final_pnl,res_final_pnl_lo,res_final_pnl_hi,real_add_mfe,null_add_mfe,res_add_mfe,res_add_mfe_lo,res_add_mfe_hi,real_giveback,null_giveback,res_giveback,res_giveback_lo,res_giveback_hi,real_frac_surrendered,null_frac_surrendered,res_frac_surrendered,res_frac_surrendered_lo,res_frac_surrendered_hi,real_exit_below_entry,null_exit_below_entry,res_exit_below_entry,res_exit_below_entry_lo,res_exit_below_entry_hi,real_giveback_ge_1A,null_giveback_ge_1A,res_giveback_ge_1A,res_giveback_ge_1A_lo,res_giveback_ge_1A_hi
0.5,trig_pos,low,discovery,1131,-1.7086136183125566,0.5482220011247967,0.5029501496682146,0.04527185145658205,-0.13000105864095998,0.22238788980149016,2.562250259763724,2.3467991415544507,0.21545111820927304,0.04357075018344136,0.3947481688357007,2.6168192150268688,2.4466399482741776,0.17017926675269093,0.11035019040688049,0.23811560502088872,1.4382301869459202,1.4539698273262487,-0.015739640380328532,-0.08996401380386115,0.06436885675723956,0.5172413793103449,0.5479696308020741,-0.03072825149172927,-0.059318256377613544,-0.0001519112513026318,0.9787798408488063,0.9992740111964112,-0.02049417034760495,-0.02868002102060662,-0.013394023026766615
0.5,trig_pos,mid,discovery,1130,-1.1951707507192784,0.3360621305837015,0.49788222253811,-0.16182009195440852,-0.295609804675134,-0.01854219270709958,2.0000575791735713,2.2758177689508927,-0.27576018977732214,-0.4098240946345171,-0.12991958846848364,2.2448725459882723,2.358812643811186,-0.11394009782291362,-0.16072849781130696,-0.06534436442524981,1.4578586146211554,1.4210463298023963,0.036812284818758916,-0.01836253901367231,0.09321028757880918,0.5893805309734513,0.5627310365185293,0.026649494454922065,-0.004631081833023739,0.054401753979430936,0.9823008849557522,0.9996385113780025,-0.017337626422250316,-0.02475819927300245,-0.010523542299249502
0.5,trig_pos,high,discovery,1131,-0.8421300852903609,0.5554826261098521,0.4926206011927796,0.06286202491707255,-0.07688394810326404,0.22212343293641518,2.144761103605414,2.2111778677527596,-0.06641676414734567,-0.217682964729163,0.10650878152987642,2.1635979885052494,2.2928767775696675,-0.1292787890644182,-0.17604650557048224,-0.07734511221562475,1.3538346067587497,1.3865630472433539,-0.03272844048460426,-0.0889991883179726,0.024358399692633,0.5641025641025641,0.5752352866356443,-0.011132722533080137,-0.040723971074498155,0.018666859374686054,0.9761273209549072,0.9984743713426767,-0.022347050387769584,-0.031191923361838642,-0.015251109170782361
0.5,trig_pos,low,replication,360,-1.7147894004725444,0.5420102551325393,0.5112897236125106,0.030720531520028876,-0.20082284539985815,0.2859922013343468,2.4850128494682155,2.37622092533087,0.10879192413734545,-0.11169863500411108,0.3652701464823425,2.528691524410464,2.450620131793148,0.07807139261731662,-0.02779621686295499,0.19098095267806423,1.4604786882298362,1.448103570769827,0.012375117460009183,-0.0871313159708573,0.11106884752989883,0.5333333333333333,0.544251520986232,-0.010918187652898675,-0.05789820397432064,0.03260821106040651,0.9805555555555555,0.9996961805555555,-0.019140625,-0.03207829076461963,-0.007180188029443233
0.5,trig_pos,mid,replication,381,-1.1873548569981445,0.5905329969337033,0.4887388186561529,0.10179417827755052,-0.114726123682159,0.32593771766188,2.209845954018183,2.2516050431478978,-0.04175908912971483,-0.2533497005472043,0.1894048137509617,2.1938189393908,2.337372206798065,-0.14355326740726534,-0.20502603244631773,-0.08110282143110273,1.4029087510197884,1.4142316689198962,-0.011322917900108047,-0.10462888914374743,0.08859458306183672,0.5695538057742782,0.5611811334403092,0.008372672333969005,-0.03631439887304231,0.0507307801365856,0.9868766404199475,0.9999179790026247,-0.013041338582677165,-0.024600111920914314,-0.002625671487603306
0.5,trig_pos,high,replication,386,-0.8327249346824165,0.5310043728624239,0.495476545916433,0.03552782694599079,-0.1485499293181018,0.23837479123883926,2.00072866647461,2.174405516915614,-0.17367685044100395,-0.37795587300734973,0.04412067608091665,2.049015456929625,2.2582201343166197,-0.20920467738699478,-0.2749654194912113,-0.15087241966046752,1.3349173846602116,1.3742025221974443,-0.03928513753723271,-0.120259234072079,0.04296041180293306,0.5673575129533679,0.5713979652057793,-0.004040452252411411,-0.051035506864578896,0.041801005439967245,0.9585492227979274,0.9988786320462621,-0.040329409248334766,-0.05761994465705201,-0.02548453591395107
0.5,trig_pos,low,pooled,1491,-1.7106044482239597,0.5467221831789799,0.5049637288901775,0.04175845428880262,-0.1070050283726762,0.18677414985584745,2.5436013880625956,2.3539029927680732,0.18969839529452193,0.04340539396302451,0.33718576194007166,2.595540899385081,2.4476009583793616,0.14793994100571928,0.09308195497994735,0.2082461577926861,1.4436020584832838,1.4525534273528669,-0.00895136886958301,-0.07463338221229217,0.055312959148923764,0.5211267605633803,0.5470718980497581,-0.025945137486377823,-0.05038346167670595,0.0006109340914731472,0.9792085848423877,0.9993759434360436,-0.020167358593656065,-0.02683686055856995,-0.013646131819878895
0.5,trig_pos,mid,pooled,1511,-1.1939869552455504,0.4002271868903532,0.4955767050801182,-0.095349518189765,-0.21104127341027482,0.02697612553745274,2.052955905325654,2.269712508506855,-0.21675660318120143,-0.3381608938808778,-0.08799197125564834,2.2319993334709745,2.353406418462411,-0.12140708499143646,-0.16496214820792174,-0.08231057113938665,1.4440029574192221,1.4193280069723284,0.024674950446893728,-0.02393872489676139,0.07140392923887678,0.5843812045003309,0.5623402270725981,0.022040977427732707,-0.002561938983120958,0.04753266783674505,0.9834546657842489,0.9997089793892409,-0.016254313604991966,-0.022123552515423042,-0.010130072787898504
0.5,trig_pos,high,pooled,1517,-0.8391705861789699,0.5492541450594188,0.4933472951040059,0.05590684995541297,-0.0593760675848809,0.17812826206340804,2.1081121116921047,2.2018211588383645,-0.09370904714625938,-0.22044881773387454,0.04220630956871419,2.134442512441841,2.284058409543513,-0.14961589710167236,-0.18822378920239072,-0.10946824699602496,1.349021127701376,1.3834179169416259,-0.034396789240250004,-0.08395863049139106,0.013343549171422261,0.5649307844429796,0.57425888184202,-0.009328097399040499,-0.03557409928879425,0.016944241465709376,0.971654581410679,0.9985772353054875,-0.02692265389480858,-0.033968698238056864,-0.020003638463680636
0.5,price_to_trig,low,discovery,1131,1.3417327296704697,0.45405991614214897,0.47467406425487907,-0.02061414811273017,-0.1611463043685149,0.13832586131257735,2.062523833797624,2.201295855150784,-0.13877202135315975,-0.2893922602428314,0.0373978916867879,2.1686171015469857,2.286774974787415,-0.11815787324042953,-0.16569769064750914,-0.06560336213777684,1.3867012081470085,1.4105931737593942,-0.023891965612385994,-0.08157728241560162,0.03680721159738597,0.5764809902740937,0.5800286897883355,-0.003547699514241764,-0.03319218040031855,0.023707882193773025,0.9770114942528736,0.9983756912871001,-0.021364197034226574,-0.02978862811270443,-0.01419700691019036
0.5,price_to_trig,mid,discovery,1130,1.7030221397515533,0.42654895690114847,0.49448322744641615,-0.06793427054526763,-0.20523664504428982,0.06956203090482385,2.0939095943278137,2.2737693274726607,-0.17985973314484732,-0.3200177890943179,-0.03632797330738335,2.2458986569199277,2.357824119519508,-0.11192546259957971,-0.15488088245468853,-0.06575704360043141,1.4384086464740495,1.4201100852125341,0.018298561261515144,-0.032959233630733734,0.07067440103986418,0.5743362831858407,0.562373095026203,0.01196318815963775,-0.018054727375442024,0.04300429214870424,0.9796460176991151,0.9997234513274337,-0.020077433628318583,-0.027901903956319238,-0.013218935260207879
0.5,price_to_trig,high,discovery,1131,2.2477874670687443,0.5592378908107005,0.5242926763971092,0.03494521441359146,-0.14655962303135298,0.21299693375376003,2.550718495863031,2.3587277844574017,0.19199071140562948,0.008913337788729237,0.3746101614339514,2.6107748983133634,2.453729401321325,0.15704549699203804,0.09738345743495654,0.2242029862212486,1.4247963565622854,1.4308751175976038,-0.006078761035318259,-0.0805605441648585,0.07007590514592055,0.519893899204244,0.5435338526593994,-0.023639953455155373,-0.053231968856931496,0.006785679395017138,0.9805481874447391,0.999287826404192,-0.01873963895945287,-0.02714677571107077,-0.011754204685812758
0.5,price_to_trig,low,replication,391,1.3357112605751953,0.4864348287938706,0.47053238778816203,0.015902441005708493,-0.17171080230415625,0.23036793568430705,1.970738050877035,2.1633942146711984,-0.1926561637941638,-0.3984898506571517,0.018109732305229876,2.043363874320778,2.2519224791206502,-0.20855860479987237,-0.27528792836743005,-0.14875027038579888,1.3605054838925001,1.4045791981886036,-0.04407371429610339,-0.13294477223300208,0.040504254603004136,0.578005115089514,0.5775229838599654,0.00048213122954866427,-0.04608006041230589,0.04155990581372625,0.9565217391304348,0.9988929717899161,-0.04237123265948138,-0.06003845658376906,-0.026991899744189668
0.5,price_to_trig,mid,replication,369,1.696093280097449,0.6231544596847118,0.48555442412101457,0.1376000355636972,-0.08665885204423683,0.36259925571867585,2.235106967609586,2.2445478036533433,-0.009440836043757264,-0.2453534426075395,0.22546699162279812,2.190449005818491,2.337489877425946,-0.1470408716074545,-0.21241738385422632,-0.07733721909717028,1.3927481906416832,1.402402758202239,-0.009654567560555988,-0.09844531252924225,0.08659318981501314,0.5609756097560976,0.5599240085782835,0.0010516011778141303,-0.04550243615219262,0.046972610586983606,0.989159891598916,0.9999153116531165,-0.010755420054200542,-0.021016433662280704,-0.002486299859299625
0.5,price_to_trig,high,replication,367,2.2232165400984885,0.5584317109599148,0.5405449346223854,0.017886776337529366,-0.22301678675554104,0.29470481862673104,2.48916662290961,2.393722906276204,0.09544371663340588,-0.13977304797041318,0.3632674983660175,2.533686575106403,2.456129634810526,0.07755694029587652,-0.02368623420508831,0.1884433537866692,1.4432614327830338,1.4275330807505764,0.015728352032457513,-0.09797029372153719,0.13164930974781894,0.5313351498637602,0.5391736460779266,-0.007838496214166426,-0.06084945874744295,0.041517739063910694,0.9809264305177112,0.9997019754768393,-0.018775544959128067,-0.031706365389967836,-0.006986996135050431
0.5,price_to_trig,low,pooled,1522,1.3398813886048604,0.4623769929140432,0.4736100724687513,-0.011233079554708146,-0.1234792921113523,0.10922699569905892,2.0389441747161854,2.1915589685361203,-0.15261479381993545,-0.27677057005149913,-0.011179182598615812,2.136439695603854,2.2778214098690808,-0.14138171426522728,-0.18278864755866248,-0.09630612182525133,1.3799715575665135,1.4090481905477132,-0.029076632981199082,-0.07660748904215837,0.01886704015126207,0.5768725361366623,0.5793849768987214,-0.002512440762059073,-0.02853456882031958,0.020736230289089663,0.9717477003942181,0.9985085800365094,-0.026760879642291378,-0.03386087381582545,-0.01974737472247124
0.5,price_to_trig,mid,pooled,1499,1.699993329609997,0.47494617539823647,0.4922852765277549,-0.01733910112951843,-0.13397542229212064,0.10039176377354285,2.1286673199722257,2.2665760370861845,-0.13790871711395858,-0.2617744052014866,-0.018157765448687243,2.232248942939654,2.352818558924094,-0.12056961598444016,-0.15771180942681637,-0.083320073315634,1.4271686810289905,1.4157511768290794,0.011417504199911242,-0.035669603086437185,0.059045908810430016,0.57104736490994,0.5617702178418919,0.00927714706804808,-0.014775733133703775,0.03553865699211338,0.9819879919946631,0.9997706804536357,-0.01778268845897265,-0.02427584665707565,-0.011709821008594365
0.5,price_to_trig,high,pooled,1498,2.239999741960154,0.5590403821289659,0.5282743711692562,0.030766010959709766,-0.11792205794953609,0.17383972567958272,2.5356386978831207,2.367301355690713,0.1683373421924078,0.02035044896661228,0.31574423307374644,2.591888773735957,2.454317442503259,0.13757133123269807,0.08562746241266164,0.19603141580277045,1.4293201769715076,1.4300563408800742,-0.0007361639085667925,-0.06515874742454617,0.059752774607784165,0.5226969292389854,0.5424656311537915,-0.019768701914806282,-0.04571164513768831,0.0072525202621017216,0.9806408544726302,0.9993892901623105,-0.01874843568968037,-0.0252179158322469,-0.012358653361112179
0.5,mfe_to_trig,low,discovery,1131,1.3999587069547377,0.47100539120281293,0.4838131354226847,-0.012807744219871752,-0.14618562542141303,0.14279476634591834,2.0496743237025927,2.214635647285262,-0.1649613235826689,-0.3138686717575659,0.0049820920351350195,2.134035622588244,2.286189201951041,-0.15215357936279705,-0.19623372804951678,-0.10163031826702414,1.3732132977767983,1.3993639574847967,-0.0261506597079983,-0.08015691378878835,0.0345663739525388,0.5729442970822282,0.5776957093546876,-0.004751412272459527,-0.03321626395166063,0.025484950769659134,0.9770114942528736,0.9985020017582382,-0.02149050750536463,-0.02979202602782498,-0.014350636668679355
0.5,mfe_to_trig,mid,discovery,1130,1.7723252101872204,0.4107036216211168,0.49867003561961754,-0.08796641399850072,-0.22730201858308108,0.045099464208846335,2.094727614459162,2.2808403681923006,-0.1861127537331384,-0.3259169683125896,-0.04300374431877476,2.261033039309944,2.359179379044582,-0.09814633973463766,-0.14517191579055758,-0.0500112939923847,1.439818160766021,1.4212198182782791,0.018598342487741976,-0.03504944481581085,0.07369872715797353,0.5831858407079646,0.5625449148722307,0.020640925835733976,-0.009690110629028947,0.048553746922797736,0.9814159292035398,0.9995970290771176,-0.01818109987357775,-0.025356692770616848,-0.011070232514655954
0.5,mfe_to_trig,high,discovery,1131,2.329765837011786,0.5581237410077162,0.5109704989200924,0.04715324208762381,-0.13842767071037823,0.22692509093728755,2.562750709098271,2.3383232036286774,0.22442750546959392,0.04189318586817992,0.3979398473895931,2.630235376298879,2.4529611129169084,0.17727426338197005,0.1118397150747709,0.24921732423861687,1.436875998895424,1.440995582002801,-0.004119583107377331,-0.08019680542157477,0.07645014358148534,0.5145888594164456,0.5456951651655396,-0.031106305749093874,-0.058944558737023894,-0.0020867015457975836,0.9787798408488063,0.999287826404192,-0.020507985555385674,-0.028866470023098178,-0.01322209659385524
0.5,mfe_to_trig,low,replication,379,1.396980916690552,0.5361471093485708,0.4786746492635837,0.05747246008498706,-0.1449252502466762,0.28158900429262546,2.014263313918681,2.1740338008099074,-0.15977048689122628,-0.36304313664473287,0.06285255308386113,2.0338514964900365,2.25109444346625,-0.21724294697621338,-0.28500161072090063,-0.1571485443887238,1.3295117229809381,1.3906097754990867,-0.06109805251814849,-0.15537199741751623,0.024206305313575368,0.5725593667546174,0.5743471190443744,-0.001787752289756995,-0.05098773084006274,0.041942395267242145,0.9577836411609498,0.9988579207647947,-0.0410742796038449,-0.05875007051550661,-0.02605248440216518
0.5,mfe_to_trig,mid,replication,395,1.7593631631593247,0.6436818299983434,0.4832542222433354,0.160427607755008,-0.019964885800235022,0.3442979744164913,2.263631558313848,2.2483926768981304,0.015238881415718032,-0.16811886416595964,0.196743141727846,2.1974856891971752,2.342674415536465,-0.14518872633928995,-0.20631654366957203,-0.08333030704014159,1.4069813123097434,1.4170180117600755,-0.010036699450331631,-0.10094713846840435,0.08460474361550525,0.5645569620253165,0.5635576271818106,0.0009993348435059326,-0.03768284879178244,0.039527684909727384,0.9873417721518988,0.9999208860759494,-0.012579113924050632,-0.024206381073696645,-0.0024630541871921183
