anchor,trigger_bin,N,share,real_exit_below_entry,null_exit_below_entry,real_final_pnl,null_final_pnl,real_add_mfe,null_add_mfe,real_giveback,null_giveback,median_trig_rel_entry,protected_share_of_mfe_median,p_trigger_below_entry
0.5,< -1A,3112,0.6886479309581766,0.5517352185089974,0.5555061805320473,0.47589192265776686,0.49897325741369614,2.289535638688455,2.3078017120082435,2.4021520621711785,2.397336800735038,,,
0.5,-1A..-0.5A,1324,0.292985173710998,0.5709969788519638,0.5728759135927857,0.5596640842047751,0.49968654957522923,2.1329538165073614,2.2141381702351612,2.1493989371288262,2.290560825486172,,,
0.5,-0.5A..0,82,0.01814560743527329,0.524390243902439,0.5927431517152484,0.4086758263486609,0.4364053775669619,1.7467707895562357,2.0089935829062084,1.9030845990790084,2.1375778412106814,,,
0.5,0..+0.5A,0,0.0,,,,,,,,,,,
0.5,+0.5A..+1A,1,0.0002212878955521133,1.0,0.703125,-2.3577359923613974,-0.04984184542675746,0.23115058748641149,1.2323215695369312,3.097417872317914,1.790694707433794,,,
0.5,>= +1A,0,0.0,,,,,,,,,,,
0.5,ALL,4519,,,,,,,,,,-1.1891484111656088,0.0,0.9997787121044479
1.0,< -1A,1535,0.4350907029478458,0.4501628664495114,0.4408035882504457,0.9425393672969888,0.9941476168154384,2.4710959255896032,2.38569567100322,2.64125063313789,2.5042421290330577,,,
1.0,-1A..-0.5A,1632,0.46258503401360546,0.4258578431372549,0.4440312266286249,1.0642056116087835,0.9975192710144847,2.2301764862642504,2.284371185537089,2.2574421185728184,2.378323158439956,,,
1.0,-0.5A..0,349,0.09892290249433107,0.4297994269340974,0.4313941947610585,0.9191408821652453,0.9751525680335958,1.9456198522727044,2.1490078171044535,2.101545605544108,2.2489218845075056,,,
1.0,0..+0.5A,10,0.002834467120181406,0.0,0.40993684354580895,1.6969796256320506,0.7096415952354724,1.8371994712832318,1.7269491781001078,1.1850634231051722,2.062151160318627,,,
1.0,+0.5A..+1A,2,0.0005668934240362812,0.0,0.20830977953646126,0.8622561876173749,0.8262536259859559,0.2125711619196169,1.2822221863479442,0.3650857140354625,1.4707393000952091,,,
1.0,>= +1A,0,0.0,,,,,,,,,,,
1.0,ALL,3528,,,,,,,,,,-0.9339771358634289,0.0,0.9965986394557823
1.5,< -1A,753,0.2697957721246865,0.34926958831341304,0.3256786708294268,1.5033223422032735,1.49899352716347,2.7688458708764356,2.4642632292071758,2.8954465926137054,2.5951927659842493,,,
1.5,-1A..-0.5A,1073,0.3844500179147259,0.3131407269338304,0.3103239006397336,1.519723578249313,1.5105678373309621,2.353927168909365,2.3896171145737304,2.436439076605363,2.4812847631880794,,,
1.5,-0.5A..0,819,0.2934432103188821,0.24664224664224665,0.2837838168702912,1.4714547272649163,1.4970757058736934,2.1109800721935774,2.2770124016721467,2.2253696992122682,2.3657810500820604,,,
1.5,0..+0.5A,135,0.048369759942672876,0.17037037037037037,0.2088406419303049,1.6688287177063237,1.4597147739376097,1.9571020595572803,2.052733290205606,1.8729762327266148,2.177721407143655,,,
1.5,+0.5A..+1A,10,0.0035829451809387316,0.1,0.12369966457514299,1.4469471825304145,1.2384121766529854,1.1555124784694164,1.6130769146130164,1.2961481045513712,1.9622475465723994,,,
1.5,>= +1A,1,0.00035829451809387314,0.0,0.07936507936507936,1.2769644106123281,1.2735038024534873,0.12458189371827588,1.4232986984718905,0.37374568115482787,1.6759230940672836,,,
1.5,ALL,2791,,,,,,,,,,-0.6893632956075226,0.0,0.9476890003582945
2.0,< -1A,385,0.17342342342342343,0.2649350649350649,0.2297270108105739,1.9957951905984077,1.9987562874950882,3.1284277231667157,2.5375885508845517,3.2788622721854956,2.685062003006651,,,
2.0,-1A..-0.5A,506,0.22792792792792793,0.22727272727272727,0.200191983828467,1.972431274121949,1.9759274730094822,2.498391460707647,2.440895752888287,2.632666649165391,2.571674742458499,,,
2.0,-0.5A..0,746,0.33603603603603605,0.15281501340482573,0.16659927927936327,2.0379758406849042,2.005892434197171,2.31854572427531,2.3868671944854967,2.3823577409236325,2.4827626176215527,,,
2.0,0..+0.5A,465,0.20945945945945946,0.07741935483870968,0.10780880505605457,2.150625729005135,1.9718653953467784,2.2009657769345483,2.2166537224968335,2.1441997460220548,2.338648025242696,,,
2.0,+0.5A..+1A,109,0.0490990990990991,0.05504587155963303,0.05440003206076749,1.9087043548761808,2.0503344522209654,1.7522059332905646,2.1057242540481838,1.941689786658517,2.153578010071352,,,
2.0,>= +1A,9,0.004054054054054054,0.0,0.03473509395111726,1.8390757222088052,1.607828354601421,0.6051456754242163,1.4693278232556601,0.8685117023805458,1.963941217819374,,,
2.0,ALL,2220,,,,,,,,,,-0.3546328110613355,0.0,0.7373873873873874
3.0,< -1A,101,0.07013888888888889,0.25742574257425743,0.11080121404997642,2.350957113355738,2.991594571423093,3.600737887660188,2.7660494028435068,4.462812923657101,2.987486980773066,,,
3.0,-1A..-0.5A,123,0.08541666666666667,0.11382113821138211,0.04980481352432572,3.010133632861467,3.0786402203933427,2.94408750585928,2.6103578452375764,3.1128504801194588,2.71061423196588,,,
3.0,-0.5A..0,239,0.16597222222222222,0.06276150627615062,0.04600123696619513,3.4206643011928857,2.996951322555985,3.1716521920611815,2.526175774135831,2.8782033789629557,2.6564399396745064,,,
3.0,0..+0.5A,311,0.21597222222222223,0.03215434083601286,0.02659442230026194,2.945487237622708,3.004232659573805,2.403447163854523,2.455745685544158,2.5703905149078388,2.563943614646378,,,
3.0,+0.5A..+1A,342,0.2375,0.008771929824561403,0.015934003409978456,3.1136488080372318,2.991551032863441,2.3663083919812147,2.3568810986862045,2.3474662309705603,2.4601367128493403,,,
3.0,>= +1A,324,0.225,0.009259259259259259,0.005642361111111111,3.0602069294440195,2.9807562542449664,2.0119731878275156,2.1374443548924975,2.039678804262457,2.2446006465264925,,,
3.0,ALL,1440,,,,,,,,,,0.42385333721301427,0.13529650377325025,0.3215277777777778
