anchor,mfe_to_trig_tercile,add_mfe_band,real_share,real_mean_giveback_in_band,real_mean_final_pnl_in_band
0.5,low,add_mfe < 0.5A,0.27947019867549666,1.7887414107177289,-1.0365158165494723
0.5,low,0.5-1.5A,0.2860927152317881,2.0144553159010776,-0.4979180463627777
0.5,low,>= 1.5A,0.43443708609271525,2.3770281014098793,2.1164895160153767
0.5,mid,add_mfe < 0.5A,0.26885245901639343,2.00764246930152,-1.2274611722255953
0.5,mid,0.5-1.5A,0.27934426229508197,2.187420808162557,-0.6513801563054932
0.5,mid,>= 1.5A,0.4518032786885246,2.4208991363748167,2.175756810565808
0.5,high,add_mfe < 0.5A,0.20485175202156333,2.4299043641738938,-1.6168781044609961
0.5,high,0.5-1.5A,0.2634770889487871,2.483017037951457,-0.8890279110807779
0.5,high,>= 1.5A,0.5316711590296496,2.742082368458857,2.0760572653743354
1.0,low,add_mfe < 0.5A,0.27531380753138074,1.9263745618385635,-0.6570772006872132
1.0,low,0.5-1.5A,0.2820083682008368,2.0387446200388877,-0.027203066177015806
1.0,low,>= 1.5A,0.4426778242677824,2.3593927591770423,2.578658710115521
1.0,mid,add_mfe < 0.5A,0.24765157984628522,2.167104272777337,-0.8823972658804333
1.0,mid,0.5-1.5A,0.2741246797608881,2.2710714283457816,-0.2111979623704959
1.0,mid,>= 1.5A,0.47822374039282667,2.489479667228844,2.7748637733353907
1.0,high,add_mfe < 0.5A,0.22375215146299485,2.618204486940095,-1.2408055685550428
1.0,high,0.5-1.5A,0.25559380378657487,2.5360362089031536,-0.39767457306584036
1.0,high,>= 1.5A,0.5206540447504303,2.8595270116820357,2.635993676220789
1.5,low,add_mfe < 0.5A,0.2703862660944206,1.91605819976799,-0.15019126844221387
1.5,low,0.5-1.5A,0.26931330472103004,2.0756656699723126,0.46529279621250336
1.5,low,>= 1.5A,0.46030042918454933,2.3561471889717605,3.105392692606189
1.5,mid,add_mfe < 0.5A,0.2289029535864979,2.314402657566956,-0.52464012522656
1.5,mid,0.5-1.5A,0.2795358649789029,2.2566336502375623,0.28469753838011636
1.5,mid,>= 1.5A,0.49156118143459915,2.473557130112015,3.222243389275318
1.5,high,add_mfe < 0.5A,0.2217343578485181,2.7770030210910353,-0.918968652016102
1.5,high,0.5-1.5A,0.2524698133918771,2.6489928980022834,-0.05161690682340244
1.5,high,>= 1.5A,0.5257958287596048,3.017902772909641,3.198353438297764
2.0,low,add_mfe < 0.5A,0.25891677675033026,1.9194617512095928,0.3471530275313631
2.0,low,0.5-1.5A,0.27873183619550856,2.0293435458352693,0.9576630003506144
2.0,low,>= 1.5A,0.4623513870541612,2.3273934046502065,3.7155334837314125
2.0,mid,add_mfe < 0.5A,0.2327823691460055,2.3707975568540878,-0.062449348231599575
2.0,mid,0.5-1.5A,0.24242424242424243,2.3082491667940377,0.7513701627100644
2.0,mid,>= 1.5A,0.5247933884297521,2.4661809055528496,3.636575615692971
2.0,high,add_mfe < 0.5A,0.20488466757123475,2.942719483235294,-0.5801102557592861
2.0,high,0.5-1.5A,0.23337856173677068,2.88910610117857,0.21741401161140705
2.0,high,>= 1.5A,0.5617367706919946,3.0952698262771197,3.5841451325780644
3.0,low,add_mfe < 0.5A,0.2309278350515464,1.9245473828208424,1.333004739313343
3.0,low,0.5-1.5A,0.30103092783505153,1.9974335505868457,2.027536621874274
3.0,low,>= 1.5A,0.46804123711340206,2.281608771342696,4.461310913771968
3.0,mid,add_mfe < 0.5A,0.2128099173553719,2.3722299561194444,0.9227388766914836
3.0,mid,0.5-1.5A,0.256198347107438,2.3991749045010202,1.6617948600218904
3.0,mid,>= 1.5A,0.53099173553719,2.5667346236203525,4.605856849288566
3.0,high,add_mfe < 0.5A,0.1613588110403397,3.672665235507065,-0.3073348338279094
3.0,high,0.5-1.5A,0.22505307855626328,3.0468477491275254,1.1402415842233813
3.0,high,>= 1.5A,0.613588110403397,3.307680858319005,4.696542729676181
